question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,"Ételek, mint például; Fűszeres; Gyógynövényes; Virágos; ",primary_odor_descriptor,"Mi a molekula elsődleges szagleírója? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Válasszon csak egyet a [Ételek, mint például; Fűszeres; Gyógynövényes; Virágos; ]. Ne írj megjegyzéseket!.","Mi a molekula elsődleges szagleírója? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Válasszon csak egyet a [Ételek, mint például; Fűszeres; Gyógynövényes; Virágos; ]. Ne írj megjegyzéseket!.",Virágos,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Borostyán; Gyógynövényes; Fűszeres; Citrus; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCC1=CC2=C(C=C1)OCO2]? Válasszon csak egyet a [Borostyán; Gyógynövényes; Fűszeres; Citrus; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [Dihydrosafrole]? Válasszon csak egyet a [Borostyán; Gyógynövényes; Fűszeres; Citrus; ]. Ne írj megjegyzéseket!.,Fűszeres,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,"Balsamico; Gyógynövényes; Ételek, mint például; Gyümölcsös; ",primary_odor_descriptor,"Mi a molekula elsődleges szagleírója? [CCCCCCOC(=O)CC(C)C]? Válasszon csak egyet a [Balsamico; Gyógynövényes; Ételek, mint például; Gyümölcsös; ]. Ne írj megjegyzéseket!.","Mi a molekula elsődleges szagleírója? [Hexyl isovalerate]? Válasszon csak egyet a [Balsamico; Gyógynövényes; Ételek, mint például; Gyümölcsös; ]. Ne írj megjegyzéseket!.",Gyümölcsös,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Woody; Füstös; Musk-szerű; Gyümölcsös; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCC(CCO)SC]? Válasszon csak egyet a [Woody; Füstös; Musk-szerű; Gyümölcsös; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [3-(Methylthio)-1-hexanol]? Válasszon csak egyet a [Woody; Füstös; Musk-szerű; Gyümölcsös; ]. Ne írj megjegyzéseket!.,Gyümölcsös,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,"Balsamico; Ételek, mint például; Woody; Musk-szerű; ",primary_odor_descriptor,"Mi a molekula elsődleges szagleírója? [CCC1=NC(=CS1)C]? Válasszon csak egyet a [Balsamico; Ételek, mint például; Woody; Musk-szerű; ]. Ne írj megjegyzéseket!.","Mi a molekula elsődleges szagleírója? [2-Ethyl-4-methylthiazole]? Válasszon csak egyet a [Balsamico; Ételek, mint például; Woody; Musk-szerű; ]. Ne írj megjegyzéseket!.","Ételek, mint például",Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Gyümölcsös; Mentolos; Citrus; Virágos; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCCCCCCCCCCCC(=O)C]? Válasszon csak egyet a [Gyümölcsös; Mentolos; Citrus; Virágos; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [2-Pentadecanone]? Válasszon csak egyet a [Gyümölcsös; Mentolos; Citrus; Virágos; ]. Ne írj megjegyzéseket!.,Virágos,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Füstös; Zöld; Gyógynövényes; Gyümölcsös; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Válasszon csak egyet a [Füstös; Zöld; Gyógynövényes; Gyümölcsös; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [Carvyl propionate]? Válasszon csak egyet a [Füstös; Zöld; Gyógynövényes; Gyümölcsös; ]. Ne írj megjegyzéseket!.,Gyógynövényes,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Zöld; Gyümölcsös; Aldehid; Ózon; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCCCCC(=O)CC]? Válasszon csak egyet a [Zöld; Gyümölcsös; Aldehid; Ózon; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [3-Nonanone]? Válasszon csak egyet a [Zöld; Gyümölcsös; Aldehid; Ózon; ]. Ne írj megjegyzéseket!.,Gyümölcsös,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromás; tengerész; Gyógynövényes; Balsamico; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Válasszon csak egyet a [Aromás; tengerész; Gyógynövényes; Balsamico; ]. Ne írj megjegyzéseket!.,"Mi a molekula elsődleges szagleírója? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Válasszon csak egyet a [Aromás; tengerész; Gyógynövényes; Balsamico; ]. Ne írj megjegyzéseket!.",Gyógynövényes,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Citrus; Méz; Füstös; Gyógynövényes; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Válasszon csak egyet a [Citrus; Méz; Füstös; Gyógynövényes; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [Isobornyl acetate]? Válasszon csak egyet a [Citrus; Méz; Füstös; Gyógynövényes; ]. Ne írj megjegyzéseket!.,Gyógynövényes,Descriptor 2=Pine;Descriptor 3=Green
11,Isoamyl alcohol,CC(C)CCO,,,Musk-szerű; Gyümölcsös; Ózon; Zöld; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC(C)CCO]? Válasszon csak egyet a [Musk-szerű; Gyümölcsös; Ózon; Zöld; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [Isoamyl alcohol]? Válasszon csak egyet a [Musk-szerű; Gyümölcsös; Ózon; Zöld; ]. Ne írj megjegyzéseket!.,Gyümölcsös,Descriptor 2=Apple;Descriptor 3=Pear
12,"Undecenoic acid, 3-methylbutyl ester",CCCC/C=C/CCCCC(=O)OCCC(C)C,,,Savanyú; Gyógynövényes; Virágos; Aldehid; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCC/C=C/CCCCC(=O)OCCC(C)C]? Válasszon csak egyet a [Savanyú; Gyógynövényes; Virágos; Aldehid; ]. Ne írj megjegyzéseket!.,"Mi a molekula elsődleges szagleírója? [Undecenoic acid, 3-methylbutyl ester]? Válasszon csak egyet a [Savanyú; Gyógynövényes; Virágos; Aldehid; ]. Ne írj megjegyzéseket!.",Virágos,Descriptor 2=Rose;Descriptor 3=Oily
13,o-Propylphenol,CCCC1=CC=CC=C1O,,,Balsamico; Füstös; Gyógynövényes; Ózon; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCC1=CC=CC=C1O]? Válasszon csak egyet a [Balsamico; Füstös; Gyógynövényes; Ózon; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [o-Propylphenol]? Válasszon csak egyet a [Balsamico; Füstös; Gyógynövényes; Ózon; ]. Ne írj megjegyzéseket!.,Füstös,Descriptor 2=Medicinal;Descriptor 3=Burnt
14,3-Methyl-2-pentylcyclopentan-1-one,CCCCCC1C(CCC1=O)C,,,Citrus; Füstös; Anisic; Virágos; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCCCC1C(CCC1=O)C]? Válasszon csak egyet a [Citrus; Füstös; Anisic; Virágos; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [3-Methyl-2-pentylcyclopentan-1-one]? Válasszon csak egyet a [Citrus; Füstös; Anisic; Virágos; ]. Ne írj megjegyzéseket!.,Virágos,Descriptor 2=Fruity;Descriptor 3=Jasmin
15,3-Methyl-5-phenylpentanenitrile,CC(CCC1=CC=CC=C1)CC#N,,,Citrus; Aldehid; Földes; Füstös; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC(CCC1=CC=CC=C1)CC#N]? Válasszon csak egyet a [Citrus; Aldehid; Földes; Füstös; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [3-Methyl-5-phenylpentanenitrile]? Válasszon csak egyet a [Citrus; Aldehid; Földes; Füstös; ]. Ne írj megjegyzéseket!.,Citrus,Descriptor 2=Floral;Descriptor 3=Waxy
16,2-Methylpyrazine,CC1=NC=CN=C1,,,"Gyümölcsös; Méz; Aromás; Ételek, mint például; ",primary_odor_descriptor,"Mi a molekula elsődleges szagleírója? [CC1=NC=CN=C1]? Válasszon csak egyet a [Gyümölcsös; Méz; Aromás; Ételek, mint például; ]. Ne írj megjegyzéseket!.","Mi a molekula elsődleges szagleírója? [2-Methylpyrazine]? Válasszon csak egyet a [Gyümölcsös; Méz; Aromás; Ételek, mint például; ]. Ne írj megjegyzéseket!.","Ételek, mint például",Descriptor 2=Nutty;Descriptor 3=Earthy
17,Valeraldehyde,CCCCC=O,,,Musk-szerű; tengerész; Állatszerű; Gourmand; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCCC=O]? Válasszon csak egyet a [Musk-szerű; tengerész; Állatszerű; Gourmand; ]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [Valeraldehyde]? Válasszon csak egyet a [Musk-szerű; tengerész; Állatszerű; Gourmand; ]. Ne írj megjegyzéseket!.,Gourmand,Descriptor 2=Fruity;Descriptor 3=cocoa
18,"2-Propen-1-ol, 2-methyl-3-(4-methylphenyl)-, (2E)-",CC1=CC=C(C=C1)/C=C(\C)/CO,,,Állatszerű; Virágos; Citrus; Gourmand; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC1=CC=C(C=C1)/C=C(\C)/CO]? Válasszon csak egyet a [Állatszerű; Virágos; Citrus; Gourmand; ]. Ne írj megjegyzéseket!.,"Mi a molekula elsődleges szagleírója? [2-Propen-1-ol, 2-methyl-3-(4-methylphenyl)-, (2E)-]? Válasszon csak egyet a [Állatszerű; Virágos; Citrus; Gourmand; ]. Ne írj megjegyzéseket!.",Virágos,Descriptor 2=Anisic;Descriptor 3=Linden
