question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Alimente similare; Picant; Pe bază de plante; Floral; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Selectați doar una dintre opțiunile [Alimente similare; Picant; Pe bază de plante; Floral; ]. Nu scrieți comentarii.,"Care este descriptorul principal al mirosului moleculei? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Selectați doar una dintre opțiunile [Alimente similare; Picant; Pe bază de plante; Floral; ]. Nu scrieți comentarii.",Floral,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Chihlimbar; Pe bază de plante; Picant; Citrice; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CCCC1=CC2=C(C=C1)OCO2]? Selectați doar una dintre opțiunile [Chihlimbar; Pe bază de plante; Picant; Citrice; ]. Nu scrieți comentarii.,Care este descriptorul principal al mirosului moleculei? [Dihydrosafrole]? Selectați doar una dintre opțiunile [Chihlimbar; Pe bază de plante; Picant; Citrice; ]. Nu scrieți comentarii.,Picant,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Balsamic; Pe bază de plante; Alimente similare; Fructat; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CCCCCCOC(=O)CC(C)C]? Selectați doar una dintre opțiunile [Balsamic; Pe bază de plante; Alimente similare; Fructat; ]. Nu scrieți comentarii.,Care este descriptorul principal al mirosului moleculei? [Hexyl isovalerate]? Selectați doar una dintre opțiunile [Balsamic; Pe bază de plante; Alimente similare; Fructat; ]. Nu scrieți comentarii.,Fructat,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Lemn; Fumuros; Musk ca; Fructat; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CCCC(CCO)SC]? Selectați doar una dintre opțiunile [Lemn; Fumuros; Musk ca; Fructat; ]. Nu scrieți comentarii.,Care este descriptorul principal al mirosului moleculei? [3-(Methylthio)-1-hexanol]? Selectați doar una dintre opțiunile [Lemn; Fumuros; Musk ca; Fructat; ]. Nu scrieți comentarii.,Fructat,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Balsamic; Alimente similare; Lemn; Musk ca; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CCC1=NC(=CS1)C]? Selectați doar una dintre opțiunile [Balsamic; Alimente similare; Lemn; Musk ca; ]. Nu scrieți comentarii.,Care este descriptorul principal al mirosului moleculei? [2-Ethyl-4-methylthiazole]? Selectați doar una dintre opțiunile [Balsamic; Alimente similare; Lemn; Musk ca; ]. Nu scrieți comentarii.,Alimente similare,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Fructat; Mentolat; Citrice; Floral; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CCCCCCCCCCCCCC(=O)C]? Selectați doar una dintre opțiunile [Fructat; Mentolat; Citrice; Floral; ]. Nu scrieți comentarii.,Care este descriptorul principal al mirosului moleculei? [2-Pentadecanone]? Selectați doar una dintre opțiunile [Fructat; Mentolat; Citrice; Floral; ]. Nu scrieți comentarii.,Floral,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Fumuros; Verde; Pe bază de plante; Fructat; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Selectați doar una dintre opțiunile [Fumuros; Verde; Pe bază de plante; Fructat; ]. Nu scrieți comentarii.,Care este descriptorul principal al mirosului moleculei? [Carvyl propionate]? Selectați doar una dintre opțiunile [Fumuros; Verde; Pe bază de plante; Fructat; ]. Nu scrieți comentarii.,Pe bază de plante,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Verde; Fructat; Aldehidic; Ozon; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CCCCCCC(=O)CC]? Selectați doar una dintre opțiunile [Verde; Fructat; Aldehidic; Ozon; ]. Nu scrieți comentarii.,Care este descriptorul principal al mirosului moleculei? [3-Nonanone]? Selectați doar una dintre opțiunile [Verde; Fructat; Aldehidic; Ozon; ]. Nu scrieți comentarii.,Fructat,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromatic; Marină; Pe bază de plante; Balsamic; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Selectați doar una dintre opțiunile [Aromatic; Marină; Pe bază de plante; Balsamic; ]. Nu scrieți comentarii.,"Care este descriptorul principal al mirosului moleculei? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Selectați doar una dintre opțiunile [Aromatic; Marină; Pe bază de plante; Balsamic; ]. Nu scrieți comentarii.",Pe bază de plante,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Citrice; Miere; Fumuros; Pe bază de plante; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Selectați doar una dintre opțiunile [Citrice; Miere; Fumuros; Pe bază de plante; ]. Nu scrieți comentarii.,Care este descriptorul principal al mirosului moleculei? [Isobornyl acetate]? Selectați doar una dintre opțiunile [Citrice; Miere; Fumuros; Pe bază de plante; ]. Nu scrieți comentarii.,Pe bază de plante,Descriptor 2=Pine;Descriptor 3=Green
11,Isoamyl alcohol,CC(C)CCO,,,Musk ca; Fructat; Ozon; Verde; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CC(C)CCO]? Selectați doar una dintre opțiunile [Musk ca; Fructat; Ozon; Verde; ]. Nu scrieți comentarii.,Care este descriptorul principal al mirosului moleculei? [Isoamyl alcohol]? Selectați doar una dintre opțiunile [Musk ca; Fructat; Ozon; Verde; ]. Nu scrieți comentarii.,Fructat,Descriptor 2=Apple;Descriptor 3=Pear
12,"Undecenoic acid, 3-methylbutyl ester",CCCC/C=C/CCCCC(=O)OCCC(C)C,,,Acid; Pe bază de plante; Floral; Aldehidic; ,primary_odor_descriptor,Care este descriptorul principal al mirosului moleculei? [CCCC/C=C/CCCCC(=O)OCCC(C)C]? Selectați doar una dintre opțiunile [Acid; Pe bază de plante; Floral; Aldehidic; ]. Nu scrieți comentarii.,"Care este descriptorul principal al mirosului moleculei? [Undecenoic acid, 3-methylbutyl ester]? Selectați doar una dintre opțiunile [Acid; Pe bază de plante; Floral; Aldehidic; ]. Nu scrieți comentarii.",Floral,Descriptor 2=Rose;Descriptor 3=Oily
