question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Храна като; Пикантен; Билкови; Цветя; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Изберете само едно от [Храна като; Пикантен; Билкови; Цветя; ]. Не пишете коментари.,"Какъв е основният дескриптор на миризмата на молекулата? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Изберете само едно от [Храна като; Пикантен; Билкови; Цветя; ]. Не пишете коментари.",Цветя,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Кехлибар; Билкови; Пикантен; Цитрусови плодове; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CCCC1=CC2=C(C=C1)OCO2]? Изберете само едно от [Кехлибар; Билкови; Пикантен; Цитрусови плодове; ]. Не пишете коментари.,Какъв е основният дескриптор на миризмата на молекулата? [Dihydrosafrole]? Изберете само едно от [Кехлибар; Билкови; Пикантен; Цитрусови плодове; ]. Не пишете коментари.,Пикантен,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Балсамико; Билкови; Храна като; Плодов; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CCCCCCOC(=O)CC(C)C]? Изберете само едно от [Балсамико; Билкови; Храна като; Плодов; ]. Не пишете коментари.,Какъв е основният дескриптор на миризмата на молекулата? [Hexyl isovalerate]? Изберете само едно от [Балсамико; Билкови; Храна като; Плодов; ]. Не пишете коментари.,Плодов,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Уди; Дим; Муск като; Плодов; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CCCC(CCO)SC]? Изберете само едно от [Уди; Дим; Муск като; Плодов; ]. Не пишете коментари.,Какъв е основният дескриптор на миризмата на молекулата? [3-(Methylthio)-1-hexanol]? Изберете само едно от [Уди; Дим; Муск като; Плодов; ]. Не пишете коментари.,Плодов,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Балсамико; Храна като; Уди; Муск като; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CCC1=NC(=CS1)C]? Изберете само едно от [Балсамико; Храна като; Уди; Муск като; ]. Не пишете коментари.,Какъв е основният дескриптор на миризмата на молекулата? [2-Ethyl-4-methylthiazole]? Изберете само едно от [Балсамико; Храна като; Уди; Муск като; ]. Не пишете коментари.,Храна като,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Плодов; Мента; Цитрусови плодове; Цветя; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CCCCCCCCCCCCCC(=O)C]? Изберете само едно от [Плодов; Мента; Цитрусови плодове; Цветя; ]. Не пишете коментари.,Какъв е основният дескриптор на миризмата на молекулата? [2-Pentadecanone]? Изберете само едно от [Плодов; Мента; Цитрусови плодове; Цветя; ]. Не пишете коментари.,Цветя,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Дим; Зелено; Билкови; Плодов; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Изберете само едно от [Дим; Зелено; Билкови; Плодов; ]. Не пишете коментари.,Какъв е основният дескриптор на миризмата на молекулата? [Carvyl propionate]? Изберете само едно от [Дим; Зелено; Билкови; Плодов; ]. Не пишете коментари.,Билкови,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Зелено; Плодов; Алдехиден; Озон; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CCCCCCC(=O)CC]? Изберете само едно от [Зелено; Плодов; Алдехиден; Озон; ]. Не пишете коментари.,Какъв е основният дескриптор на миризмата на молекулата? [3-Nonanone]? Изберете само едно от [Зелено; Плодов; Алдехиден; Озон; ]. Не пишете коментари.,Плодов,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Ароматен; Морски; Билкови; Балсамико; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Изберете само едно от [Ароматен; Морски; Билкови; Балсамико; ]. Не пишете коментари.,"Какъв е основният дескриптор на миризмата на молекулата? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Изберете само едно от [Ароматен; Морски; Билкови; Балсамико; ]. Не пишете коментари.",Билкови,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Цитрусови плодове; Мед; Дим; Билкови; ,primary_odor_descriptor,Какъв е основният дескриптор на миризмата на молекулата? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Изберете само едно от [Цитрусови плодове; Мед; Дим; Билкови; ]. Не пишете коментари.,Какъв е основният дескриптор на миризмата на молекулата? [Isobornyl acetate]? Изберете само едно от [Цитрусови плодове; Мед; Дим; Билкови; ]. Не пишете коментари.,Билкови,Descriptor 2=Pine;Descriptor 3=Green
