question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Food Like;Spicy;Herbal;Floral,primary_odor_descriptor,What is the primary odor descriptor of molecule [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Select only one from the [OPTIONS]. Do not write any comments.,"What is the primary odor descriptor of molecule [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Select only one from the [OPTIONS]. Do not write any comments.",Floral,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Amber;Herbal;Spicy;Citrus,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCCC1=CC2=C(C=C1)OCO2]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [Dihydrosafrole]? Select only one from the [OPTIONS]. Do not write any comments.,Spicy,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Balsamic;Herbal;Food Like;Fruity,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCCCCCOC(=O)CC(C)C]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [Hexyl isovalerate]? Select only one from the [OPTIONS]. Do not write any comments.,Fruity,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Woody;Smoky;Musk like;Fruity,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCCC(CCO)SC]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [3-(Methylthio)-1-hexanol]? Select only one from the [OPTIONS]. Do not write any comments.,Fruity,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Balsamic;Food Like;Woody;Musk like,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCC1=NC(=CS1)C]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [2-Ethyl-4-methylthiazole]? Select only one from the [OPTIONS]. Do not write any comments.,Food Like,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Fruity;Minty;Citrus;Floral,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCCCCCCCCCCCCC(=O)C]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [2-Pentadecanone]? Select only one from the [OPTIONS]. Do not write any comments.,Floral,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Smoky;Green;Herbal;Fruity,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [Carvyl propionate]? Select only one from the [OPTIONS]. Do not write any comments.,Herbal,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Green;Fruity;Aldehydic;Ozonic,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCCCCCC(=O)CC]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [3-Nonanone]? Select only one from the [OPTIONS]. Do not write any comments.,Fruity,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromatic;Marine;Herbal;Balsamic,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Select only one from the [OPTIONS]. Do not write any comments.,"What is the primary odor descriptor of molecule [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Select only one from the [OPTIONS]. Do not write any comments.",Herbal,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Citrus;Honey;Smoky;Herbal,primary_odor_descriptor,What is the primary odor descriptor of molecule [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [Isobornyl acetate]? Select only one from the [OPTIONS]. Do not write any comments.,Herbal,Descriptor 2=Pine;Descriptor 3=Green
11,Isoamyl alcohol,CC(C)CCO,,,Musk like;Fruity;Ozonic;Green,primary_odor_descriptor,What is the primary odor descriptor of molecule [CC(C)CCO]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [Isoamyl alcohol]? Select only one from the [OPTIONS]. Do not write any comments.,Fruity,Descriptor 2=Apple;Descriptor 3=Pear
12,"Undecenoic acid, 3-methylbutyl ester",CCCC/C=C/CCCCC(=O)OCCC(C)C,,,Acidic;Herbal;Floral;Aldehydic,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCCC/C=C/CCCCC(=O)OCCC(C)C]? Select only one from the [OPTIONS]. Do not write any comments.,"What is the primary odor descriptor of molecule [Undecenoic acid, 3-methylbutyl ester]? Select only one from the [OPTIONS]. Do not write any comments.",Floral,Descriptor 2=Rose;Descriptor 3=Oily
13,o-Propylphenol,CCCC1=CC=CC=C1O,,,Balsamic;Smoky;Herbal;Ozonic,primary_odor_descriptor,What is the primary odor descriptor of molecule [CCCC1=CC=CC=C1O]? Select only one from the [OPTIONS]. Do not write any comments.,What is the primary odor descriptor of molecule [o-Propylphenol]? Select only one from the [OPTIONS]. Do not write any comments.,Smoky,Descriptor 2=Medicinal;Descriptor 3=Burnt
