question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Lebensmittel wie; Würzig; Kräuter; Blumenmuster; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Wählen Sie nur eine Option aus der [Lebensmittel wie; Würzig; Kräuter; Blumenmuster; ]. Bitte keine Kommentare schreiben..,"Was ist der primäre Geruchsbeschreiber des Moleküls? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Wählen Sie nur eine Option aus der [Lebensmittel wie; Würzig; Kräuter; Blumenmuster; ]. Bitte keine Kommentare schreiben..",Blumenmuster,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Bernstein; Kräuter; Würzig; Zitrusfrüchte; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCCC1=CC2=C(C=C1)OCO2]? Wählen Sie nur eine Option aus der [Bernstein; Kräuter; Würzig; Zitrusfrüchte; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [Dihydrosafrole]? Wählen Sie nur eine Option aus der [Bernstein; Kräuter; Würzig; Zitrusfrüchte; ]. Bitte keine Kommentare schreiben..,Würzig,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Balsamico; Kräuter; Lebensmittel wie; Fruchtig; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCCCCCOC(=O)CC(C)C]? Wählen Sie nur eine Option aus der [Balsamico; Kräuter; Lebensmittel wie; Fruchtig; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [Hexyl isovalerate]? Wählen Sie nur eine Option aus der [Balsamico; Kräuter; Lebensmittel wie; Fruchtig; ]. Bitte keine Kommentare schreiben..,Fruchtig,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,holzartig; Rauchig; Musk-ähnlich; Fruchtig; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCCC(CCO)SC]? Wählen Sie nur eine Option aus der [holzartig; Rauchig; Musk-ähnlich; Fruchtig; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [3-(Methylthio)-1-hexanol]? Wählen Sie nur eine Option aus der [holzartig; Rauchig; Musk-ähnlich; Fruchtig; ]. Bitte keine Kommentare schreiben..,Fruchtig,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Balsamico; Lebensmittel wie; holzartig; Musk-ähnlich; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCC1=NC(=CS1)C]? Wählen Sie nur eine Option aus der [Balsamico; Lebensmittel wie; holzartig; Musk-ähnlich; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [2-Ethyl-4-methylthiazole]? Wählen Sie nur eine Option aus der [Balsamico; Lebensmittel wie; holzartig; Musk-ähnlich; ]. Bitte keine Kommentare schreiben..,Lebensmittel wie,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Fruchtig; Minty; Zitrusfrüchte; Blumenmuster; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCCCCCCCCCCCCC(=O)C]? Wählen Sie nur eine Option aus der [Fruchtig; Minty; Zitrusfrüchte; Blumenmuster; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [2-Pentadecanone]? Wählen Sie nur eine Option aus der [Fruchtig; Minty; Zitrusfrüchte; Blumenmuster; ]. Bitte keine Kommentare schreiben..,Blumenmuster,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Rauchig; Grün; Kräuter; Fruchtig; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Wählen Sie nur eine Option aus der [Rauchig; Grün; Kräuter; Fruchtig; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [Carvyl propionate]? Wählen Sie nur eine Option aus der [Rauchig; Grün; Kräuter; Fruchtig; ]. Bitte keine Kommentare schreiben..,Kräuter,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Grün; Fruchtig; Aldehydisch; Ozon; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCCCCCC(=O)CC]? Wählen Sie nur eine Option aus der [Grün; Fruchtig; Aldehydisch; Ozon; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [3-Nonanone]? Wählen Sie nur eine Option aus der [Grün; Fruchtig; Aldehydisch; Ozon; ]. Bitte keine Kommentare schreiben..,Fruchtig,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromatisch; Marine; Kräuter; Balsamico; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Wählen Sie nur eine Option aus der [Aromatisch; Marine; Kräuter; Balsamico; ]. Bitte keine Kommentare schreiben..,"Was ist der primäre Geruchsbeschreiber des Moleküls? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Wählen Sie nur eine Option aus der [Aromatisch; Marine; Kräuter; Balsamico; ]. Bitte keine Kommentare schreiben..",Kräuter,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Zitrusfrüchte; Honig; Rauchig; Kräuter; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Wählen Sie nur eine Option aus der [Zitrusfrüchte; Honig; Rauchig; Kräuter; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [Isobornyl acetate]? Wählen Sie nur eine Option aus der [Zitrusfrüchte; Honig; Rauchig; Kräuter; ]. Bitte keine Kommentare schreiben..,Kräuter,Descriptor 2=Pine;Descriptor 3=Green
11,Isoamyl alcohol,CC(C)CCO,,,Musk-ähnlich; Fruchtig; Ozon; Grün; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CC(C)CCO]? Wählen Sie nur eine Option aus der [Musk-ähnlich; Fruchtig; Ozon; Grün; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [Isoamyl alcohol]? Wählen Sie nur eine Option aus der [Musk-ähnlich; Fruchtig; Ozon; Grün; ]. Bitte keine Kommentare schreiben..,Fruchtig,Descriptor 2=Apple;Descriptor 3=Pear
12,"Undecenoic acid, 3-methylbutyl ester",CCCC/C=C/CCCCC(=O)OCCC(C)C,,,Säurehaltig; Kräuter; Blumenmuster; Aldehydisch; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCCC/C=C/CCCCC(=O)OCCC(C)C]? Wählen Sie nur eine Option aus der [Säurehaltig; Kräuter; Blumenmuster; Aldehydisch; ]. Bitte keine Kommentare schreiben..,"Was ist der primäre Geruchsbeschreiber des Moleküls? [Undecenoic acid, 3-methylbutyl ester]? Wählen Sie nur eine Option aus der [Säurehaltig; Kräuter; Blumenmuster; Aldehydisch; ]. Bitte keine Kommentare schreiben..",Blumenmuster,Descriptor 2=Rose;Descriptor 3=Oily
13,o-Propylphenol,CCCC1=CC=CC=C1O,,,Balsamico; Rauchig; Kräuter; Ozon; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCCC1=CC=CC=C1O]? Wählen Sie nur eine Option aus der [Balsamico; Rauchig; Kräuter; Ozon; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [o-Propylphenol]? Wählen Sie nur eine Option aus der [Balsamico; Rauchig; Kräuter; Ozon; ]. Bitte keine Kommentare schreiben..,Rauchig,Descriptor 2=Medicinal;Descriptor 3=Burnt
14,3-Methyl-2-pentylcyclopentan-1-one,CCCCCC1C(CCC1=O)C,,,Zitrusfrüchte; Rauchig; Anisisch; Blumenmuster; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCCCCC1C(CCC1=O)C]? Wählen Sie nur eine Option aus der [Zitrusfrüchte; Rauchig; Anisisch; Blumenmuster; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [3-Methyl-2-pentylcyclopentan-1-one]? Wählen Sie nur eine Option aus der [Zitrusfrüchte; Rauchig; Anisisch; Blumenmuster; ]. Bitte keine Kommentare schreiben..,Blumenmuster,Descriptor 2=Fruity;Descriptor 3=Jasmin
15,3-Methyl-5-phenylpentanenitrile,CC(CCC1=CC=CC=C1)CC#N,,,Zitrusfrüchte; Aldehydisch; Erdig; Rauchig; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CC(CCC1=CC=CC=C1)CC#N]? Wählen Sie nur eine Option aus der [Zitrusfrüchte; Aldehydisch; Erdig; Rauchig; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [3-Methyl-5-phenylpentanenitrile]? Wählen Sie nur eine Option aus der [Zitrusfrüchte; Aldehydisch; Erdig; Rauchig; ]. Bitte keine Kommentare schreiben..,Zitrusfrüchte,Descriptor 2=Floral;Descriptor 3=Waxy
16,2-Methylpyrazine,CC1=NC=CN=C1,,,Fruchtig; Honig; Aromatisch; Lebensmittel wie; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CC1=NC=CN=C1]? Wählen Sie nur eine Option aus der [Fruchtig; Honig; Aromatisch; Lebensmittel wie; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [2-Methylpyrazine]? Wählen Sie nur eine Option aus der [Fruchtig; Honig; Aromatisch; Lebensmittel wie; ]. Bitte keine Kommentare schreiben..,Lebensmittel wie,Descriptor 2=Nutty;Descriptor 3=Earthy
17,Valeraldehyde,CCCCC=O,,,Musk-ähnlich; Marine; Tierähnlich; Feinschmecker; ,primary_odor_descriptor,Was ist der primäre Geruchsbeschreiber des Moleküls? [CCCCC=O]? Wählen Sie nur eine Option aus der [Musk-ähnlich; Marine; Tierähnlich; Feinschmecker; ]. Bitte keine Kommentare schreiben..,Was ist der primäre Geruchsbeschreiber des Moleküls? [Valeraldehyde]? Wählen Sie nur eine Option aus der [Musk-ähnlich; Marine; Tierähnlich; Feinschmecker; ]. Bitte keine Kommentare schreiben..,Feinschmecker,Descriptor 2=Fruity;Descriptor 3=cocoa
