question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Comida como; Picante; Hierbas; Floral; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Seleccione solo uno de los siguientes [Comida como; Picante; Hierbas; Floral; ]. No escribas ningún comentario..,"¿Cuál es el descriptor de olor principal de la molécula? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Seleccione solo uno de los siguientes [Comida como; Picante; Hierbas; Floral; ]. No escribas ningún comentario..",Floral,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Ámbar; Hierbas; Picante; Cítricos; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CCCC1=CC2=C(C=C1)OCO2]? Seleccione solo uno de los siguientes [Ámbar; Hierbas; Picante; Cítricos; ]. No escribas ningún comentario..,¿Cuál es el descriptor de olor principal de la molécula? [Dihydrosafrole]? Seleccione solo uno de los siguientes [Ámbar; Hierbas; Picante; Cítricos; ]. No escribas ningún comentario..,Picante,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Balsámico; Hierbas; Comida como; Afrutado; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CCCCCCOC(=O)CC(C)C]? Seleccione solo uno de los siguientes [Balsámico; Hierbas; Comida como; Afrutado; ]. No escribas ningún comentario..,¿Cuál es el descriptor de olor principal de la molécula? [Hexyl isovalerate]? Seleccione solo uno de los siguientes [Balsámico; Hierbas; Comida como; Afrutado; ]. No escribas ningún comentario..,Afrutado,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Leñoso; Humeante; Algo parecido al almizcle; Afrutado; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CCCC(CCO)SC]? Seleccione solo uno de los siguientes [Leñoso; Humeante; Algo parecido al almizcle; Afrutado; ]. No escribas ningún comentario..,¿Cuál es el descriptor de olor principal de la molécula? [3-(Methylthio)-1-hexanol]? Seleccione solo uno de los siguientes [Leñoso; Humeante; Algo parecido al almizcle; Afrutado; ]. No escribas ningún comentario..,Afrutado,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Balsámico; Comida como; Leñoso; Algo parecido al almizcle; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CCC1=NC(=CS1)C]? Seleccione solo uno de los siguientes [Balsámico; Comida como; Leñoso; Algo parecido al almizcle; ]. No escribas ningún comentario..,¿Cuál es el descriptor de olor principal de la molécula? [2-Ethyl-4-methylthiazole]? Seleccione solo uno de los siguientes [Balsámico; Comida como; Leñoso; Algo parecido al almizcle; ]. No escribas ningún comentario..,Comida como,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Afrutado; Minty; Cítricos; Floral; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CCCCCCCCCCCCCC(=O)C]? Seleccione solo uno de los siguientes [Afrutado; Minty; Cítricos; Floral; ]. No escribas ningún comentario..,¿Cuál es el descriptor de olor principal de la molécula? [2-Pentadecanone]? Seleccione solo uno de los siguientes [Afrutado; Minty; Cítricos; Floral; ]. No escribas ningún comentario..,Floral,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Humeante; Verde; Hierbas; Afrutado; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Seleccione solo uno de los siguientes [Humeante; Verde; Hierbas; Afrutado; ]. No escribas ningún comentario..,¿Cuál es el descriptor de olor principal de la molécula? [Carvyl propionate]? Seleccione solo uno de los siguientes [Humeante; Verde; Hierbas; Afrutado; ]. No escribas ningún comentario..,Hierbas,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Verde; Afrutado; Aldeídico; Ozono; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CCCCCCC(=O)CC]? Seleccione solo uno de los siguientes [Verde; Afrutado; Aldeídico; Ozono; ]. No escribas ningún comentario..,¿Cuál es el descriptor de olor principal de la molécula? [3-Nonanone]? Seleccione solo uno de los siguientes [Verde; Afrutado; Aldeídico; Ozono; ]. No escribas ningún comentario..,Afrutado,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromático; Marina; Hierbas; Balsámico; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Seleccione solo uno de los siguientes [Aromático; Marina; Hierbas; Balsámico; ]. No escribas ningún comentario..,"¿Cuál es el descriptor de olor principal de la molécula? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Seleccione solo uno de los siguientes [Aromático; Marina; Hierbas; Balsámico; ]. No escribas ningún comentario..",Hierbas,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Cítricos; Miel; Humeante; Hierbas; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Seleccione solo uno de los siguientes [Cítricos; Miel; Humeante; Hierbas; ]. No escribas ningún comentario..,¿Cuál es el descriptor de olor principal de la molécula? [Isobornyl acetate]? Seleccione solo uno de los siguientes [Cítricos; Miel; Humeante; Hierbas; ]. No escribas ningún comentario..,Hierbas,Descriptor 2=Pine;Descriptor 3=Green
11,Isoamyl alcohol,CC(C)CCO,,,Algo parecido al almizcle; Afrutado; Ozono; Verde; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CC(C)CCO]? Seleccione solo uno de los siguientes [Algo parecido al almizcle; Afrutado; Ozono; Verde; ]. No escribas ningún comentario..,¿Cuál es el descriptor de olor principal de la molécula? [Isoamyl alcohol]? Seleccione solo uno de los siguientes [Algo parecido al almizcle; Afrutado; Ozono; Verde; ]. No escribas ningún comentario..,Afrutado,Descriptor 2=Apple;Descriptor 3=Pear
12,"Undecenoic acid, 3-methylbutyl ester",CCCC/C=C/CCCCC(=O)OCCC(C)C,,,Ácido; Hierbas; Floral; Aldeídico; ,primary_odor_descriptor,¿Cuál es el descriptor de olor principal de la molécula? [CCCC/C=C/CCCCC(=O)OCCC(C)C]? Seleccione solo uno de los siguientes [Ácido; Hierbas; Floral; Aldeídico; ]. No escribas ningún comentario..,"¿Cuál es el descriptor de olor principal de la molécula? [Undecenoic acid, 3-methylbutyl ester]? Seleccione solo uno de los siguientes [Ácido; Hierbas; Floral; Aldeídico; ]. No escribas ningún comentario..",Floral,Descriptor 2=Rose;Descriptor 3=Oily
