question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info,answer_to_prompt_1,answer_to_prompt_2,input_tokens_1,input_tokens_2,output_tokens_1,output_tokens_2,reasoning_tokens_1,reasoning_tokens_2
1,"2,3-Dimethylpentanal",CCC(C)C(C)C=O,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CCC(C)C(C)C=O? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,"Які з наведених нижче дескрипторів запаху застосовуються до молекули 2,3-Dimethylpentanal? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.",ефірний;зелений;,,альдегідний; зелений; трав'янистий; фруктовий; цитрусовий; свіжий; ефірний; жирний; олійний; різкий,альдегідний; яблучний; цитрусовий; свіжий; фруктова шкірка; фруктовий; зелений,704.0,704.0,5581.0,7791.0,5504.0,7744.0
2,Diisopentyl succinate,CC(C)CCOC(=O)CCC(=O)OCCC(C)C,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CC(C)CCOC(=O)CCC(=O)OCCC(C)C? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,Які з наведених нижче дескрипторів запаху застосовуються до молекули Diisopentyl succinate? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,виноградний;винний;фруктовий;,,ефірний; фруктовий; яблучний; грушевий; банановий; ананасовий; солодкий; винний; тропічний,фруктовий; яблучний; грушевий; банановий; ананасовий; тропічний; солодкий,714.0,702.0,6874.0,4069.0,6784.0,3968.0
3,"1,1-Diethoxyisooctane",CCOC(CCCCC(C)C)OCC,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CCOC(CCCCC(C)C)OCC? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,"Які з наведених нижче дескрипторів запаху застосовуються до молекули 1,1-Diethoxyisooctane? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.",зелений;фруктовий;листяний;,,цитрусовий; апельсиновий; фруктова шкірка; фруктовий; свіжий; солодкий; ефірний,яблучний; грушевий; фруктовий; свіжий; зелений; солодкий; ефірний; фруктова шкірка,706.0,707.0,5965.0,3190.0,5888.0,3136.0
4,4-Methyl-2-(methylsulfanylmethyl)pent-2-enal,CSCC(C=O)=CC(C)C,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CSCC(C=O)=CC(C)C? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,Які з наведених нижче дескрипторів запаху застосовуються до молекули 4-Methyl-2-(methylsulfanylmethyl)pent-2-enal? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,сірчистий;їдкий;трав'яний;пряний;,,цибулево-часниковий; часниковий; цибулевий; сірчистий; капустяний; овочевий; м'ясний; яловичий; варений; різкий; їдкий,цибулево-часниковий; часниковий; цибулевий; капустяний; сірчистий; овочевий; різкий; їдкий,705.0,715.0,7806.0,4965.0,7744.0,4864.0
5,"Butanoic acid, 3-methyl-, pentyl ester",CCCCCOC(=O)CC(C)C,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CCCCCOC(=O)CC(C)C? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,"Які з наведених нижче дескрипторів запаху застосовуються до молекули Butanoic acid, 3-methyl-, pentyl ester? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.",свіжий;фруктовий;шоколадний;банановий;яблучний;,,яблучний; банановий; грушевий; ананасовий; фруктовий; солодкий,фруктовий; яблучний; грушевий; банановий; солодкий,706.0,708.0,5089.0,4829.0,5056.0,4800.0
