question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,"Aromātisks; Tabaka, piemēram; Jūras; Pikants; ",primary_odor_descriptor,"Kāds ir molekulas galvenais smaržas raksturlielums? [CC1C2CC3CC1C(C(C2)C3=C)O]? Izvēlieties tikai vienu no [Aromātisks; Tabaka, piemēram; Jūras; Pikants; ]. Nerakstiet nekādus komentārus.","Kāds ir molekulas galvenais smaržas raksturlielums? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Izvēlieties tikai vienu no [Aromātisks; Tabaka, piemēram; Jūras; Pikants; ]. Nerakstiet nekādus komentārus.",Pikants,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Ziedu; Dūmakains; Sēra; Jūras; ,primary_odor_descriptor,Kāds ir molekulas galvenais smaržas raksturlielums? [CC1=CC(=C(C(=C1)C)O)C]? Izvēlieties tikai vienu no [Ziedu; Dūmakains; Sēra; Jūras; ]. Nerakstiet nekādus komentārus.,"Kāds ir molekulas galvenais smaržas raksturlielums? [2,4,6-Trimethylphenol]? Izvēlieties tikai vienu no [Ziedu; Dūmakains; Sēra; Jūras; ]. Nerakstiet nekādus komentārus.",Dūmakains,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Zaļš; Medus; Augu izcelsmes; Jūras; ,primary_odor_descriptor,Kāds ir molekulas galvenais smaržas raksturlielums? [CCCCCCCC(OCC)OCC]? Izvēlieties tikai vienu no [Zaļš; Medus; Augu izcelsmes; Jūras; ]. Nerakstiet nekādus komentārus.,Kāds ir molekulas galvenais smaržas raksturlielums? [Octanal diethyl acetal]? Izvēlieties tikai vienu no [Zaļš; Medus; Augu izcelsmes; Jūras; ]. Nerakstiet nekādus komentārus.,Zaļš,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Sēra; Dzintars; Pikants; Muskam patīk; ,primary_odor_descriptor,Kāds ir molekulas galvenais smaržas raksturlielums? [CC1C(C2CCCCC2C1(C)C)(C)C]? Izvēlieties tikai vienu no [Sēra; Dzintars; Pikants; Muskam patīk; ]. Nerakstiet nekādus komentārus.,"Kāds ir molekulas galvenais smaržas raksturlielums? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Izvēlieties tikai vienu no [Sēra; Dzintars; Pikants; Muskam patīk; ]. Nerakstiet nekādus komentārus.",Muskam patīk,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Pikants; Jūras; Ozons; Pūderi; ,primary_odor_descriptor,Kāds ir molekulas galvenais smaržas raksturlielums? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Izvēlieties tikai vienu no [Pikants; Jūras; Ozons; Pūderi; ]. Nerakstiet nekādus komentārus.,Kāds ir molekulas galvenais smaržas raksturlielums? [alpha-Ionol]? Izvēlieties tikai vienu no [Pikants; Jūras; Ozons; Pūderi; ]. Nerakstiet nekādus komentārus.,Pūderi,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Muskam patīk; Pūderi; Citrus; Dūmakains; ,primary_odor_descriptor,Kāds ir molekulas galvenais smaržas raksturlielums? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Izvēlieties tikai vienu no [Muskam patīk; Pūderi; Citrus; Dūmakains; ]. Nerakstiet nekādus komentārus.,"Kāds ir molekulas galvenais smaržas raksturlielums? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Izvēlieties tikai vienu no [Muskam patīk; Pūderi; Citrus; Dūmakains; ]. Nerakstiet nekādus komentārus.",Pūderi,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Medus; Balsamiko; Ziedu; Zemīgs; ,primary_odor_descriptor,Kāds ir molekulas galvenais smaržas raksturlielums? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Izvēlieties tikai vienu no [Medus; Balsamiko; Ziedu; Zemīgs; ]. Nerakstiet nekādus komentārus.,Kāds ir molekulas galvenais smaržas raksturlielums? [Piperine]? Izvēlieties tikai vienu no [Medus; Balsamiko; Ziedu; Zemīgs; ]. Nerakstiet nekādus komentārus.,Balsamiko,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Dzintars; Medus; Dzīvnieks; Anisic; ,primary_odor_descriptor,Kāds ir molekulas galvenais smaržas raksturlielums? [CC(CO)C1CCCCCCCCCCC1]? Izvēlieties tikai vienu no [Dzintars; Medus; Dzīvnieks; Anisic; ]. Nerakstiet nekādus komentārus.,"Kāds ir molekulas galvenais smaržas raksturlielums? [Cyclododecaneethanol, .beta.-methyl-]? Izvēlieties tikai vienu no [Dzintars; Medus; Dzīvnieks; Anisic; ]. Nerakstiet nekādus komentārus.",Dzintars,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,"Vudijs; Muskam patīk; Tabaka, piemēram; Augļu; ",primary_odor_descriptor,"Kāds ir molekulas galvenais smaržas raksturlielums? [C1CCCCC(=O)OCCCCCOCCCC1]? Izvēlieties tikai vienu no [Vudijs; Muskam patīk; Tabaka, piemēram; Augļu; ]. Nerakstiet nekādus komentārus.","Kāds ir molekulas galvenais smaržas raksturlielums? [11-Oxahexadecanolide]? Izvēlieties tikai vienu no [Vudijs; Muskam patīk; Tabaka, piemēram; Augļu; ]. Nerakstiet nekādus komentārus.",Muskam patīk,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anisic; Aromātisks; Balsamiko; Zemīgs; ,primary_odor_descriptor,Kāds ir molekulas galvenais smaržas raksturlielums? [CCCCC/C=C/COC(=O)C]? Izvēlieties tikai vienu no [Anisic; Aromātisks; Balsamiko; Zemīgs; ]. Nerakstiet nekādus komentārus.,"Kāds ir molekulas galvenais smaržas raksturlielums? [2-Octen-1-ol, 1-acetate]? Izvēlieties tikai vienu no [Anisic; Aromātisks; Balsamiko; Zemīgs; ]. Nerakstiet nekādus komentārus.",Zemīgs,Descriptor 2=Mushroom;Descriptor 3=Lavender
