question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,Aromatisk; Tobak som; Marin; Spicy; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1C2CC3CC1C(C(C2)C3=C)O]? Välj endast ett alternativ från [Aromatisk; Tobak som; Marin; Spicy; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Välj endast ett alternativ från [Aromatisk; Tobak som; Marin; Spicy; ]. Skriv inga kommentarer.",Spicy,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Blommig; Rökig; Svavelhaltig; Marin; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1=CC(=C(C(=C1)C)O)C]? Välj endast ett alternativ från [Blommig; Rökig; Svavelhaltig; Marin; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [2,4,6-Trimethylphenol]? Välj endast ett alternativ från [Blommig; Rökig; Svavelhaltig; Marin; ]. Skriv inga kommentarer.",Rökig,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Grön; Honung; Örtmedicin; Marin; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CCCCCCCC(OCC)OCC]? Välj endast ett alternativ från [Grön; Honung; Örtmedicin; Marin; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Octanal diethyl acetal]? Välj endast ett alternativ från [Grön; Honung; Örtmedicin; Marin; ]. Skriv inga kommentarer.,Grön,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Svavelhaltig; Bärnsten; Spicy; Musk-liknande; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1C(C2CCCCC2C1(C)C)(C)C]? Välj endast ett alternativ från [Svavelhaltig; Bärnsten; Spicy; Musk-liknande; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Välj endast ett alternativ från [Svavelhaltig; Bärnsten; Spicy; Musk-liknande; ]. Skriv inga kommentarer.",Musk-liknande,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Spicy; Marin; Ozon; Powdery; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Välj endast ett alternativ från [Spicy; Marin; Ozon; Powdery; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [alpha-Ionol]? Välj endast ett alternativ från [Spicy; Marin; Ozon; Powdery; ]. Skriv inga kommentarer.,Powdery,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Musk-liknande; Powdery; Citrus; Rökig; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Välj endast ett alternativ från [Musk-liknande; Powdery; Citrus; Rökig; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Välj endast ett alternativ från [Musk-liknande; Powdery; Citrus; Rökig; ]. Skriv inga kommentarer.",Powdery,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Honung; Balsamvinäger; Blommig; Jordnära; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Välj endast ett alternativ från [Honung; Balsamvinäger; Blommig; Jordnära; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Piperine]? Välj endast ett alternativ från [Honung; Balsamvinäger; Blommig; Jordnära; ]. Skriv inga kommentarer.,Balsamvinäger,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Bärnsten; Honung; Djurliknande; Anisisk; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC(CO)C1CCCCCCCCCCC1]? Välj endast ett alternativ från [Bärnsten; Honung; Djurliknande; Anisisk; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [Cyclododecaneethanol, .beta.-methyl-]? Välj endast ett alternativ från [Bärnsten; Honung; Djurliknande; Anisisk; ]. Skriv inga kommentarer.",Bärnsten,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,Woody; Musk-liknande; Tobak som; Fruktig; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [C1CCCCC(=O)OCCCCCOCCCC1]? Välj endast ett alternativ från [Woody; Musk-liknande; Tobak som; Fruktig; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [11-Oxahexadecanolide]? Välj endast ett alternativ från [Woody; Musk-liknande; Tobak som; Fruktig; ]. Skriv inga kommentarer.,Musk-liknande,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anisisk; Aromatisk; Balsamvinäger; Jordnära; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CCCCC/C=C/COC(=O)C]? Välj endast ett alternativ från [Anisisk; Aromatisk; Balsamvinäger; Jordnära; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [2-Octen-1-ol, 1-acetate]? Välj endast ett alternativ från [Anisisk; Aromatisk; Balsamvinäger; Jordnära; ]. Skriv inga kommentarer.",Jordnära,Descriptor 2=Mushroom;Descriptor 3=Lavender
11,"Methyl 2,4-dihydroxy-m-toluate",CC1=C(C=CC(=C1O)C(=O)OC)O,,,Mat som; Balsamvinäger; Mintig; Marin; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1=C(C=CC(=C1O)C(=O)OC)O]? Välj endast ett alternativ från [Mat som; Balsamvinäger; Mintig; Marin; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [Methyl 2,4-dihydroxy-m-toluate]? Välj endast ett alternativ från [Mat som; Balsamvinäger; Mintig; Marin; ]. Skriv inga kommentarer.",Marin,Descriptor 2=Mossy;Descriptor 3=Aldehydic
12,3-Octen-2-one,CCCC/C=C/C(=O)C,,,Bärnsten; Gourmand; Jordnära; Marin; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CCCC/C=C/C(=O)C]? Välj endast ett alternativ från [Bärnsten; Gourmand; Jordnära; Marin; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [3-Octen-2-one]? Välj endast ett alternativ från [Bärnsten; Gourmand; Jordnära; Marin; ]. Skriv inga kommentarer.,Jordnära,Descriptor 2=Mushroom;Descriptor 3=Sweet
13,Isoeugenol benzoate,CC=CC1=CC(=C(C=C1)OC(=O)C2=CC=CC=C2)OC,,,Anisisk; Balsamvinäger; Citrus; Svavelhaltig; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC=CC1=CC(=C(C=C1)OC(=O)C2=CC=CC=C2)OC]? Välj endast ett alternativ från [Anisisk; Balsamvinäger; Citrus; Svavelhaltig; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Isoeugenol benzoate]? Välj endast ett alternativ från [Anisisk; Balsamvinäger; Citrus; Svavelhaltig; ]. Skriv inga kommentarer.,Balsamvinäger,Descriptor 2=Spicy;Descriptor 3=Floral
14,2-Ethyl-1-hexanol,CCCCC(CC)CO,,,Rökig; Kamferhaltig; Sur; Musk-liknande; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CCCCC(CC)CO]? Välj endast ett alternativ från [Rökig; Kamferhaltig; Sur; Musk-liknande; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [2-Ethyl-1-hexanol]? Välj endast ett alternativ från [Rökig; Kamferhaltig; Sur; Musk-liknande; ]. Skriv inga kommentarer.,Kamferhaltig,Descriptor 2=Aldehydic;Descriptor 3=Sweet
15,Anethole (isomer unspecified),C/C=C/C1=CC=C(C=C1)OC,,,Svavelhaltig; Anisisk; Citrus; Aldehydisk; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [C/C=C/C1=CC=C(C=C1)OC]? Välj endast ett alternativ från [Svavelhaltig; Anisisk; Citrus; Aldehydisk; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Anethole (isomer unspecified)]? Välj endast ett alternativ från [Svavelhaltig; Anisisk; Citrus; Aldehydisk; ]. Skriv inga kommentarer.,Anisisk,Descriptor 2=Green;Descriptor 3=Herbal
16,3-Methyl-2-butenal,CC(=CC=O)C,,,Rökig; Powdery; Musk-liknande; Aldehydisk; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC(=CC=O)C]? Välj endast ett alternativ från [Rökig; Powdery; Musk-liknande; Aldehydisk; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [3-Methyl-2-butenal]? Välj endast ett alternativ från [Rökig; Powdery; Musk-liknande; Aldehydisk; ]. Skriv inga kommentarer.,Aldehydisk,Descriptor 2=Fruity;Descriptor 3=Nutty
17,Methoxy dicyclopentadiene carboxaldehyde,COC1CC2CC1C3C2CC(C3)C=O,,,Bärnsten; Marin; Sur; Jordnära; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [COC1CC2CC1C3C2CC(C3)C=O]? Välj endast ett alternativ från [Bärnsten; Marin; Sur; Jordnära; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Methoxy dicyclopentadiene carboxaldehyde]? Välj endast ett alternativ från [Bärnsten; Marin; Sur; Jordnära; ]. Skriv inga kommentarer.,Marin,Descriptor 2=Aldehydic;Descriptor 3=Floral
18,Decanenitrile,CCCCCCCCCC#N,,,Rökig; Aromatisk; Citrus; Marin; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CCCCCCCCCC#N]? Välj endast ett alternativ från [Rökig; Aromatisk; Citrus; Marin; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Decanenitrile]? Välj endast ett alternativ från [Rökig; Aromatisk; Citrus; Marin; ]. Skriv inga kommentarer.,Citrus,Descriptor 2=Tropical-Fruit;Descriptor 3=Green
19,sec-Butylquinoline,CCC(C)C1=CC2=C(C=C1)N=CC=C2,,,Kamferhaltig; Örtmedicin; Woody; Djurliknande; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CCC(C)C1=CC2=C(C=C1)N=CC=C2]? Välj endast ett alternativ från [Kamferhaltig; Örtmedicin; Woody; Djurliknande; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [sec-Butylquinoline]? Välj endast ett alternativ från [Kamferhaltig; Örtmedicin; Woody; Djurliknande; ]. Skriv inga kommentarer.,Djurliknande,Descriptor 2=Leathery;Descriptor 3=Green
20,trans-Isoeugenol,C/C=C/C1=CC(=C(C=C1)O)OC,,,Gourmand; Örtmedicin; Spicy; Svavelhaltig; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [C/C=C/C1=CC(=C(C=C1)O)OC]? Välj endast ett alternativ från [Gourmand; Örtmedicin; Spicy; Svavelhaltig; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [trans-Isoeugenol]? Välj endast ett alternativ från [Gourmand; Örtmedicin; Spicy; Svavelhaltig; ]. Skriv inga kommentarer.,Spicy,Descriptor 2=Clove;Descriptor 3=Floral
21,"alpha,alpha-Dimethyl-p-ethylphenylpropanal",CCC1=CC=C(C=C1)CC(C)(C)C=O,,,Anisisk; Ozon; Aromatisk; Powdery; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CCC1=CC=C(C=C1)CC(C)(C)C=O]? Välj endast ett alternativ från [Anisisk; Ozon; Aromatisk; Powdery; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [alpha,alpha-Dimethyl-p-ethylphenylpropanal]? Välj endast ett alternativ från [Anisisk; Ozon; Aromatisk; Powdery; ]. Skriv inga kommentarer.",Ozon,Descriptor 2=Floral;Descriptor 3=Aldehydic
22,p-Tolyl 3-methylbutyrate,CC1=CC=C(C=C1)OC(=O)CC(C)C,,,Tobak som; Musk-liknande; Bärnsten; Svavelhaltig; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1=CC=C(C=C1)OC(=O)CC(C)C]? Välj endast ett alternativ från [Tobak som; Musk-liknande; Bärnsten; Svavelhaltig; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [p-Tolyl 3-methylbutyrate]? Välj endast ett alternativ från [Tobak som; Musk-liknande; Bärnsten; Svavelhaltig; ]. Skriv inga kommentarer.,Tobak som,Descriptor 2=Spicy;Descriptor 3=Herbal
23,"Oxacyclohexadecane-2,13-dione",C1CCCCCC(=O)OCCCC(=O)CCCC1,,,Musk-liknande; Rökig; Fruktig; Blommig; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [C1CCCCCC(=O)OCCCC(=O)CCCC1]? Välj endast ett alternativ från [Musk-liknande; Rökig; Fruktig; Blommig; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [Oxacyclohexadecane-2,13-dione]? Välj endast ett alternativ från [Musk-liknande; Rökig; Fruktig; Blommig; ]. Skriv inga kommentarer.",Musk-liknande,Descriptor 2=Sweet;Descriptor 3=Powdery
24,Anise seed oil,CCCCCCC(CC=CCCCCCCCC(=O)OCCN(CCOC(=O)CCCCCCCC=CCC(CCCCCC)O)CCOC(=O)CCCCCCCC=CCC(CCCCCC)O)O,,,Spicy; Blommig; Anisisk; Tobak som; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CCCCCCC(CC=CCCCCCCCC(=O)OCCN(CCOC(=O)CCCCCCCC=CCC(CCCCCC)O)CCOC(=O)CCCCCCCC=CCC(CCCCCC)O)O]? Välj endast ett alternativ från [Spicy; Blommig; Anisisk; Tobak som; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Anise seed oil]? Välj endast ett alternativ från [Spicy; Blommig; Anisisk; Tobak som; ]. Skriv inga kommentarer.,Anisisk,Descriptor 2=Herbal;Descriptor 3=Liquorice
25,"2,6-Dimethyl-10-methylene-2,6,11-dodecatrienal",C/C(=C\CCC(=C)C=C)/CC/C=C(\C)/C=O,,,Musk-liknande; Aromatisk; Powdery; Citrus; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [C/C(=C\CCC(=C)C=C)/CC/C=C(\C)/C=O]? Välj endast ett alternativ från [Musk-liknande; Aromatisk; Powdery; Citrus; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [2,6-Dimethyl-10-methylene-2,6,11-dodecatrienal]? Välj endast ett alternativ från [Musk-liknande; Aromatisk; Powdery; Citrus; ]. Skriv inga kommentarer.",Citrus,Descriptor 2=Mandarin;Descriptor 3=Aldehydic
26,"1-Phenyl-1,2-propanedione",CC(=O)C(=O)C1=CC=CC=C1,,,Sur; Djurliknande; Aromatisk; Honung; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC(=O)C(=O)C1=CC=CC=C1]? Välj endast ett alternativ från [Sur; Djurliknande; Aromatisk; Honung; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [1-Phenyl-1,2-propanedione]? Välj endast ett alternativ från [Sur; Djurliknande; Aromatisk; Honung; ]. Skriv inga kommentarer.",Aromatisk,Descriptor 2=Phenolic;Descriptor 3=Dry
27,Methyl phenylacetate,COC(=O)CC1=CC=CC=C1,,,Mat som; Citrus; Honung; Woody; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [COC(=O)CC1=CC=CC=C1]? Välj endast ett alternativ från [Mat som; Citrus; Honung; Woody; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Methyl phenylacetate]? Välj endast ett alternativ från [Mat som; Citrus; Honung; Woody; ]. Skriv inga kommentarer.,Honung,Descriptor 2=Sweet;Descriptor 3=Floral
28,"Octahydro-7,7,8,8-tetramethyl-2,3b-methano-3bH-
cyclopenta[1,3]cyclopropa[1,2]benzene-4-methanol",CC1(CCC(C23C14C2CC(C4)C3(C)C)CO)C,,,Anisisk; Bärnsten; Marin; Svavelhaltig; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1(CCC(C23C14C2CC(C4)C3(C)C)CO)C]? Välj endast ett alternativ från [Anisisk; Bärnsten; Marin; Svavelhaltig; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [Octahydro-7,7,8,8-tetramethyl-2,3b-methano-3bH-
cyclopenta[1,3]cyclopropa[1,2]benzene-4-methanol]? Välj endast ett alternativ från [Anisisk; Bärnsten; Marin; Svavelhaltig; ]. Skriv inga kommentarer.",Bärnsten,Descriptor 2=Sage;Descriptor 3=Warm
29,Vanilla absolute,CC1=CC=C(C=C1)CC(=O)C2C3=CC=CC(=C3C(CN2C(=O)C=CC4=C(C=CC(=C4F)Cl)N5C=NN=N5)(C)C)C6=CC=C(C=C6)C(=O)NC.CC1=CC=C(C=C1)CC(=O)C2C3=CC=CC(=C3C(CN2C(=O)C=CC4=C(C=CC(=C4F)Cl)N5C=NN=N5)(C)C)C6=CC=C(C=C6)[N+](=O)[O-].CC1(CN(C(C2=CC=CC(=C21)C3=CC=C(C=C3)C(=O)N)C(=O)CC4=CC=C(C=C4)C(=O)O)C(=O)C=CC5=C(C=CC(=C5F)Cl)N6C=NN=N6)C,,,Gourmand; Ozon; Marin; Bärnsten; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1=CC=C(C=C1)CC(=O)C2C3=CC=CC(=C3C(CN2C(=O)C=CC4=C(C=CC(=C4F)Cl)N5C=NN=N5)(C)C)C6=CC=C(C=C6)C(=O)NC.CC1=CC=C(C=C1)CC(=O)C2C3=CC=CC(=C3C(CN2C(=O)C=CC4=C(C=CC(=C4F)Cl)N5C=NN=N5)(C)C)C6=CC=C(C=C6)[N+](=O)[O-].CC1(CN(C(C2=CC=CC(=C21)C3=CC=C(C=C3)C(=O)N)C(=O)CC4=CC=C(C=C4)C(=O)O)C(=O)C=CC5=C(C=CC(=C5F)Cl)N6C=NN=N6)C]? Välj endast ett alternativ från [Gourmand; Ozon; Marin; Bärnsten; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Vanilla absolute]? Välj endast ett alternativ från [Gourmand; Ozon; Marin; Bärnsten; ]. Skriv inga kommentarer.,Bärnsten,Descriptor 2=Creamy;Descriptor 3=Vanilla
30,2-Acetyl-3-methylpyrazine,CC1=NC=CN=C1C(=O)C,,,Mat som; Svavelhaltig; Grön; Musk-liknande; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1=NC=CN=C1C(=O)C]? Välj endast ett alternativ från [Mat som; Svavelhaltig; Grön; Musk-liknande; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [2-Acetyl-3-methylpyrazine]? Välj endast ett alternativ från [Mat som; Svavelhaltig; Grön; Musk-liknande; ]. Skriv inga kommentarer.,Mat som,Descriptor 2=Nutty;Descriptor 3=Roasted
31,Anisyl alcohol,COC1=CC=C(C=C1)CO,,,Spicy; Blommig; Anisisk; Gourmand; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [COC1=CC=C(C=C1)CO]? Välj endast ett alternativ från [Spicy; Blommig; Anisisk; Gourmand; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [Anisyl alcohol]? Välj endast ett alternativ från [Spicy; Blommig; Anisisk; Gourmand; ]. Skriv inga kommentarer.,Anisisk,Descriptor 2=Sweet;Descriptor 3=Licorice
32,"1,3-Dioxane, 2-(2,4-dimethyl-3-cyclohexene-1-yl)-5-methyl-5-(1-methylpropyl)-",CCC(C)C1(COC(OC1)C2CCC(=CC2C)C)C,,,Bärnsten; Sur; Svavelhaltig; Powdery; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CCC(C)C1(COC(OC1)C2CCC(=CC2C)C)C]? Välj endast ett alternativ från [Bärnsten; Sur; Svavelhaltig; Powdery; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [1,3-Dioxane, 2-(2,4-dimethyl-3-cyclohexene-1-yl)-5-methyl-5-(1-methylpropyl)-]? Välj endast ett alternativ från [Bärnsten; Sur; Svavelhaltig; Powdery; ]. Skriv inga kommentarer.",Bärnsten,Descriptor 2=Dry;Descriptor 3=Woody
33,1-Methyl-4-(4-methyl-3-pentenyl)cyclohex-3-ene-1-carbaldehyde,CC(=CCCC1=CCC(CC1)(C)C=O)C,,,Bärnsten; Mat som; Tobak som; Aldehydisk; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC(=CCCC1=CCC(CC1)(C)C=O)C]? Välj endast ett alternativ från [Bärnsten; Mat som; Tobak som; Aldehydisk; ]. Skriv inga kommentarer.,Vad är den primära luktdeskriptorn för molekylen? [1-Methyl-4-(4-methyl-3-pentenyl)cyclohex-3-ene-1-carbaldehyde]? Välj endast ett alternativ från [Bärnsten; Mat som; Tobak som; Aldehydisk; ]. Skriv inga kommentarer.,Aldehydisk,Descriptor 2=Green;Descriptor 3=Floral
34,"5H-5-Methyl-6,7-dihydrocyclopenta(b)pyrazine",CC1CCC2=NC=CN=C12,,,Anisisk; Svavelhaltig; Balsamvinäger; Jordnära; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC1CCC2=NC=CN=C12]? Välj endast ett alternativ från [Anisisk; Svavelhaltig; Balsamvinäger; Jordnära; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [5H-5-Methyl-6,7-dihydrocyclopenta(b)pyrazine]? Välj endast ett alternativ från [Anisisk; Svavelhaltig; Balsamvinäger; Jordnära; ]. Skriv inga kommentarer.",Jordnära,Descriptor 2=Sweet;Descriptor 3=Nutty
35,"4-(4,8-Dimethylnona-3,7-dienyl)pyridine",CC(=CCCC(=CCCC1=CC=NC=C1)C)C,,,Sur; Powdery; Woody; Marin; ,primary_odor_descriptor,Vad är den primära luktdeskriptorn för molekylen? [CC(=CCCC(=CCCC1=CC=NC=C1)C)C]? Välj endast ett alternativ från [Sur; Powdery; Woody; Marin; ]. Skriv inga kommentarer.,"Vad är den primära luktdeskriptorn för molekylen? [4-(4,8-Dimethylnona-3,7-dienyl)pyridine]? Välj endast ett alternativ från [Sur; Powdery; Woody; Marin; ]. Skriv inga kommentarer.",Marin,Descriptor 2=Fresh;Descriptor 3=Clean
