question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Ruoka kuten; Mausteinen; Yrttinen; Kukkainen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Valitse vain yksi seuraavista [Ruoka kuten; Mausteinen; Yrttinen; Kukkainen; ]. Älä kirjoita kommentteja.,"Mikä on molekyylin ensisijainen hajun kuvaaja? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Valitse vain yksi seuraavista [Ruoka kuten; Mausteinen; Yrttinen; Kukkainen; ]. Älä kirjoita kommentteja.",Kukkainen,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Meripihka; Yrttinen; Mausteinen; Sitrushedelmät; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCCC1=CC2=C(C=C1)OCO2]? Valitse vain yksi seuraavista [Meripihka; Yrttinen; Mausteinen; Sitrushedelmät; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [Dihydrosafrole]? Valitse vain yksi seuraavista [Meripihka; Yrttinen; Mausteinen; Sitrushedelmät; ]. Älä kirjoita kommentteja.,Mausteinen,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Balsamico; Yrttinen; Ruoka kuten; Hedelmäinen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCCCCCOC(=O)CC(C)C]? Valitse vain yksi seuraavista [Balsamico; Yrttinen; Ruoka kuten; Hedelmäinen; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [Hexyl isovalerate]? Valitse vain yksi seuraavista [Balsamico; Yrttinen; Ruoka kuten; Hedelmäinen; ]. Älä kirjoita kommentteja.,Hedelmäinen,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Woody; Savuisa; Musk kuten; Hedelmäinen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCCC(CCO)SC]? Valitse vain yksi seuraavista [Woody; Savuisa; Musk kuten; Hedelmäinen; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [3-(Methylthio)-1-hexanol]? Valitse vain yksi seuraavista [Woody; Savuisa; Musk kuten; Hedelmäinen; ]. Älä kirjoita kommentteja.,Hedelmäinen,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Balsamico; Ruoka kuten; Woody; Musk kuten; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCC1=NC(=CS1)C]? Valitse vain yksi seuraavista [Balsamico; Ruoka kuten; Woody; Musk kuten; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [2-Ethyl-4-methylthiazole]? Valitse vain yksi seuraavista [Balsamico; Ruoka kuten; Woody; Musk kuten; ]. Älä kirjoita kommentteja.,Ruoka kuten,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Hedelmäinen; Minttuinen; Sitrushedelmät; Kukkainen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCCCCCCCCCCCCC(=O)C]? Valitse vain yksi seuraavista [Hedelmäinen; Minttuinen; Sitrushedelmät; Kukkainen; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [2-Pentadecanone]? Valitse vain yksi seuraavista [Hedelmäinen; Minttuinen; Sitrushedelmät; Kukkainen; ]. Älä kirjoita kommentteja.,Kukkainen,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Savuisa; Vihreä; Yrttinen; Hedelmäinen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Valitse vain yksi seuraavista [Savuisa; Vihreä; Yrttinen; Hedelmäinen; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [Carvyl propionate]? Valitse vain yksi seuraavista [Savuisa; Vihreä; Yrttinen; Hedelmäinen; ]. Älä kirjoita kommentteja.,Yrttinen,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Vihreä; Hedelmäinen; Aldehydinen; Otsoni; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCCCCCC(=O)CC]? Valitse vain yksi seuraavista [Vihreä; Hedelmäinen; Aldehydinen; Otsoni; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [3-Nonanone]? Valitse vain yksi seuraavista [Vihreä; Hedelmäinen; Aldehydinen; Otsoni; ]. Älä kirjoita kommentteja.,Hedelmäinen,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromaattinen; Merivoimat; Yrttinen; Balsamico; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Valitse vain yksi seuraavista [Aromaattinen; Merivoimat; Yrttinen; Balsamico; ]. Älä kirjoita kommentteja.,"Mikä on molekyylin ensisijainen hajun kuvaaja? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Valitse vain yksi seuraavista [Aromaattinen; Merivoimat; Yrttinen; Balsamico; ]. Älä kirjoita kommentteja.",Yrttinen,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Sitrushedelmät; Hunaja; Savuisa; Yrttinen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Valitse vain yksi seuraavista [Sitrushedelmät; Hunaja; Savuisa; Yrttinen; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [Isobornyl acetate]? Valitse vain yksi seuraavista [Sitrushedelmät; Hunaja; Savuisa; Yrttinen; ]. Älä kirjoita kommentteja.,Yrttinen,Descriptor 2=Pine;Descriptor 3=Green
