question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,Αρωματικό; Καπνός όπως; Ναυτικός; Πικάντικο; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [CC1C2CC3CC1C(C(C2)C3=C)O]? Επιλέξτε μόνο ένα από τα [Αρωματικό; Καπνός όπως; Ναυτικός; Πικάντικο; ]. Μην γράφετε σχόλια.,"Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Επιλέξτε μόνο ένα από τα [Αρωματικό; Καπνός όπως; Ναυτικός; Πικάντικο; ]. Μην γράφετε σχόλια.",Πικάντικο,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Λουλουδάτο; Καπνιστός; Θειώδης; Ναυτικός; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [CC1=CC(=C(C(=C1)C)O)C]? Επιλέξτε μόνο ένα από τα [Λουλουδάτο; Καπνιστός; Θειώδης; Ναυτικός; ]. Μην γράφετε σχόλια.,"Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [2,4,6-Trimethylphenol]? Επιλέξτε μόνο ένα από τα [Λουλουδάτο; Καπνιστός; Θειώδης; Ναυτικός; ]. Μην γράφετε σχόλια.",Καπνιστός,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Πράσινο; Μέλι; Φυτικά; Ναυτικός; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [CCCCCCCC(OCC)OCC]? Επιλέξτε μόνο ένα από τα [Πράσινο; Μέλι; Φυτικά; Ναυτικός; ]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [Octanal diethyl acetal]? Επιλέξτε μόνο ένα από τα [Πράσινο; Μέλι; Φυτικά; Ναυτικός; ]. Μην γράφετε σχόλια.,Πράσινο,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Θειώδης; Κεχριμπάρι; Πικάντικο; Μουσκ όπως; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [CC1C(C2CCCCC2C1(C)C)(C)C]? Επιλέξτε μόνο ένα από τα [Θειώδης; Κεχριμπάρι; Πικάντικο; Μουσκ όπως; ]. Μην γράφετε σχόλια.,"Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Επιλέξτε μόνο ένα από τα [Θειώδης; Κεχριμπάρι; Πικάντικο; Μουσκ όπως; ]. Μην γράφετε σχόλια.",Μουσκ όπως,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Πικάντικο; Ναυτικός; Όζον; Πούδρα; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Επιλέξτε μόνο ένα από τα [Πικάντικο; Ναυτικός; Όζον; Πούδρα; ]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [alpha-Ionol]? Επιλέξτε μόνο ένα από τα [Πικάντικο; Ναυτικός; Όζον; Πούδρα; ]. Μην γράφετε σχόλια.,Πούδρα,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Μουσκ όπως; Πούδρα; Εσπεριδοειδή; Καπνιστός; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Επιλέξτε μόνο ένα από τα [Μουσκ όπως; Πούδρα; Εσπεριδοειδή; Καπνιστός; ]. Μην γράφετε σχόλια.,"Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Επιλέξτε μόνο ένα από τα [Μουσκ όπως; Πούδρα; Εσπεριδοειδή; Καπνιστός; ]. Μην γράφετε σχόλια.",Πούδρα,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Μέλι; Βαλσάμικο; Λουλουδάτο; Γήινος; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Επιλέξτε μόνο ένα από τα [Μέλι; Βαλσάμικο; Λουλουδάτο; Γήινος; ]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [Piperine]? Επιλέξτε μόνο ένα από τα [Μέλι; Βαλσάμικο; Λουλουδάτο; Γήινος; ]. Μην γράφετε σχόλια.,Βαλσάμικο,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Κεχριμπάρι; Μέλι; Ζώο όπως; Ανισικό; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [CC(CO)C1CCCCCCCCCCC1]? Επιλέξτε μόνο ένα από τα [Κεχριμπάρι; Μέλι; Ζώο όπως; Ανισικό; ]. Μην γράφετε σχόλια.,"Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [Cyclododecaneethanol, .beta.-methyl-]? Επιλέξτε μόνο ένα από τα [Κεχριμπάρι; Μέλι; Ζώο όπως; Ανισικό; ]. Μην γράφετε σχόλια.",Κεχριμπάρι,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,Γούντι; Μουσκ όπως; Καπνός όπως; Φρουτώδης; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [C1CCCCC(=O)OCCCCCOCCCC1]? Επιλέξτε μόνο ένα από τα [Γούντι; Μουσκ όπως; Καπνός όπως; Φρουτώδης; ]. Μην γράφετε σχόλια.,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [11-Oxahexadecanolide]? Επιλέξτε μόνο ένα από τα [Γούντι; Μουσκ όπως; Καπνός όπως; Φρουτώδης; ]. Μην γράφετε σχόλια.,Μουσκ όπως,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Ανισικό; Αρωματικό; Βαλσάμικο; Γήινος; ,primary_odor_descriptor,Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [CCCCC/C=C/COC(=O)C]? Επιλέξτε μόνο ένα από τα [Ανισικό; Αρωματικό; Βαλσάμικο; Γήινος; ]. Μην γράφετε σχόλια.,"Ποιος είναι ο κύριος περιγραφέας της οσμής του μορίου; [2-Octen-1-ol, 1-acetate]? Επιλέξτε μόνο ένα από τα [Ανισικό; Αρωματικό; Βαλσάμικο; Γήινος; ]. Μην γράφετε σχόλια.",Γήινος,Descriptor 2=Mushroom;Descriptor 3=Lavender
