question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,Aromatisch; Tabak zoals; Marine; Spicy; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CC1C2CC3CC1C(C(C2)C3=C)O]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,"Wat is de primaire geurdescriptor van molecuul? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.",Spicy,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Bloemen; Rokerig; Zwavelhoudend; Marine; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CC1=CC(=C(C(=C1)C)O)C]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,"Wat is de primaire geurdescriptor van molecuul? [2,4,6-Trimethylphenol]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.",Rokerig,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Groen; Honing; Kruiden; Marine; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCCCCCCC(OCC)OCC]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [Octanal diethyl acetal]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,Groen,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Zwavelhoudend; Amber; Spicy; Musk-achtig; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CC1C(C2CCCCC2C1(C)C)(C)C]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,"Wat is de primaire geurdescriptor van molecuul? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.",Musk-achtig,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Spicy; Marine; Ozon; Poeders; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [alpha-Ionol]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,Poeders,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Musk-achtig; Poeders; Citrus; Rokerig; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,"Wat is de primaire geurdescriptor van molecuul? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.",Poeders,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Honing; Balsamico; Bloemen; Aards; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [Piperine]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,Balsamico,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Amber; Honing; Dierachtig; Anisisch; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CC(CO)C1CCCCCCCCCCC1]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,"Wat is de primaire geurdescriptor van molecuul? [Cyclododecaneethanol, .beta.-methyl-]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.",Amber,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,Woody; Musk-achtig; Tabak zoals; Fruitig; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [C1CCCCC(=O)OCCCCCOCCCC1]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [11-Oxahexadecanolide]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,Musk-achtig,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anisisch; Aromatisch; Balsamico; Aards; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCCCC/C=C/COC(=O)C]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.,"Wat is de primaire geurdescriptor van molecuul? [2-Octen-1-ol, 1-acetate]? Selecteer slechts één uit de [OPTIONS]. Schrijf geen opmerkingen.",Aards,Descriptor 2=Mushroom;Descriptor 3=Lavender
