question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info,answer_to_prompt_1,answer_to_prompt_2,input_tokens_1,input_tokens_2,output_tokens_1,output_tokens_2,reasoning_tokens_1,reasoning_tokens_2
1,"2,3-Dimethylpentanal",CCC(C)C(C)C=O,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CCC(C)C(C)C=O? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,"Які з наведених нижче дескрипторів запаху застосовуються до молекули 2,3-Dimethylpentanal? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.",ефірний;зелений;,,альдегідний; цитрусовий; фруктовий; фруктова шкірка; зелений; свіжий; ефірний; жирний; олійний; восковий; яблучний; трав'янистий,альдегідний; цитрусовий; зелений; трав'янистий; фруктовий; яблучний; свіжий; ефірний; жирний,704,704,9003,5052,8896,4992
2,Diisopentyl succinate,CC(C)CCOC(=O)CCC(=O)OCCC(C)C,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CC(C)CCOC(=O)CCC(=O)OCCC(C)C? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,Які з наведених нижче дескрипторів запаху застосовуються до молекули Diisopentyl succinate? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,виноградний;винний;фруктовий;,,фруктовий; яблучний; грушевий; банановий; ананасовий; винний; виноградний; бренді; коньячний; ромовий; тропічний; ефірний; солодкий; свіжий; соковитий,яблучний; абрикосовий; банановий; бренді; грушевий; виноградний; винний; коньячний; персиковий; ананасовий; солодкий; тропічний; фруктовий,714,702,9108,4571,9024,4480
3,"1,1-Diethoxyisooctane",CCOC(CCCCC(C)C)OCC,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CCOC(CCCCC(C)C)OCC? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,"Які з наведених нижче дескрипторів запаху застосовуються до молекули 1,1-Diethoxyisooctane? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.",зелений;фруктовий;листяний;,,яблучний; грушевий; фруктовий; свіжий; зелений; трав'янистий; листяний; соковитий; солодкий; ефірний,ефірний; фруктовий; яблучний; грушевий; зелений; свіжий; солодкий,706,707,5506,4243,5440,4160
4,4-Methyl-2-(methylsulfanylmethyl)pent-2-enal,CSCC(C=O)=CC(C)C,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CSCC(C=O)=CC(C)C? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,Які з наведених нижче дескрипторів запаху застосовуються до молекули 4-Methyl-2-(methylsulfanylmethyl)pent-2-enal? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,сірчистий;їдкий;трав'яний;пряний;,,альдегідний; цибулево-часниковий; цибулевий; часниковий; капустяний; сірчистий; томатний; овочевий; зелений; листяний; трав'янистий; різкий; їдкий; картопляний; м'ясний,альдегідний; цибулево-часниковий; цибулевий; часниковий; сірчистий; м'ясний; яловичий; підсмажений; варений; овочевий; жирний; пікантний; різкий; їдкий; зелений,705,715,6483,6277,6400,6144
5,"Butanoic acid, 3-methyl-, pentyl ester",CCCCCOC(=O)CC(C)C,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CCCCCOC(=O)CC(C)C? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,"Які з наведених нижче дескрипторів запаху застосовуються до молекули Butanoic acid, 3-methyl-, pentyl ester? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.",свіжий;фруктовий;шоколадний;банановий;яблучний;,,яблучний; банановий; грушевий; ананасовий; ефірний; свіжий; соковитий; тропічний; фруктовий; солодкий; зелений,яблучний; банановий; ананасовий; грушевий; тропічний; фруктовий; солодкий,706,708,7381,4485,7296,4416
