question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,"Aromatičen; Tobak, kot; Morski; Pikantno; ",primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC1C2CC3CC1C(C(C2)C3=C)O]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Kaj je primarni opis vonja molekule? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.",Pikantno,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Cvetlični; Dimljen; Žveplen; Morski; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC1=CC(=C(C(=C1)C)O)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Kaj je primarni opis vonja molekule? [2,4,6-Trimethylphenol]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.",Dimljen,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Zeleno; Med; Zeliščni; Morski; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCCCCCC(OCC)OCC]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Octanal diethyl acetal]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Zeleno,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Žveplen; Jantar; Pikantno; Musk kot; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC1C(C2CCCCC2C1(C)C)(C)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Kaj je primarni opis vonja molekule? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.",Musk kot,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Pikantno; Morski; Ozon; Prašnati; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [alpha-Ionol]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Prašnati,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Musk kot; Prašnati; Agrum; Dimljen; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Kaj je primarni opis vonja molekule? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.",Prašnati,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Med; Balsamični; Cvetlični; Zemeljski; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Piperine]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Balsamični,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Jantar; Med; Živalski; Anisic; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC(CO)C1CCCCCCCCCCC1]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Kaj je primarni opis vonja molekule? [Cyclododecaneethanol, .beta.-methyl-]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.",Jantar,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,"Lesnat; Musk kot; Tobak, kot; Sadni; ",primary_odor_descriptor,Kaj je primarni opis vonja molekule? [C1CCCCC(=O)OCCCCCOCCCC1]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [11-Oxahexadecanolide]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Musk kot,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anisic; Aromatičen; Balsamični; Zemeljski; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCCC/C=C/COC(=O)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Kaj je primarni opis vonja molekule? [2-Octen-1-ol, 1-acetate]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.",Zemeljski,Descriptor 2=Mushroom;Descriptor 3=Lavender
11,"Methyl 2,4-dihydroxy-m-toluate",CC1=C(C=CC(=C1O)C(=O)OC)O,,,"Hrana, kot je; Balsamični; Minty; Morski; ",primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC1=C(C=CC(=C1O)C(=O)OC)O]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Kaj je primarni opis vonja molekule? [Methyl 2,4-dihydroxy-m-toluate]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.",Morski,Descriptor 2=Mossy;Descriptor 3=Aldehydic
12,3-Octen-2-one,CCCC/C=C/C(=O)C,,,Jantar; Lakomni; Zemeljski; Morski; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCC/C=C/C(=O)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [3-Octen-2-one]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Zemeljski,Descriptor 2=Mushroom;Descriptor 3=Sweet
13,Isoeugenol benzoate,CC=CC1=CC(=C(C=C1)OC(=O)C2=CC=CC=C2)OC,,,Anisic; Balsamični; Agrum; Žveplen; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC=CC1=CC(=C(C=C1)OC(=O)C2=CC=CC=C2)OC]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Isoeugenol benzoate]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Balsamični,Descriptor 2=Spicy;Descriptor 3=Floral
14,2-Ethyl-1-hexanol,CCCCC(CC)CO,,,Dimljen; Kafr; Kislo; Musk kot; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCCC(CC)CO]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [2-Ethyl-1-hexanol]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kafr,Descriptor 2=Aldehydic;Descriptor 3=Sweet
15,Anethole (isomer unspecified),C/C=C/C1=CC=C(C=C1)OC,,,Žveplen; Anisic; Agrum; Aldehidni; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [C/C=C/C1=CC=C(C=C1)OC]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Anethole (isomer unspecified)]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Anisic,Descriptor 2=Green;Descriptor 3=Herbal
16,3-Methyl-2-butenal,CC(=CC=O)C,,,Dimljen; Prašnati; Musk kot; Aldehidni; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC(=CC=O)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [3-Methyl-2-butenal]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Aldehidni,Descriptor 2=Fruity;Descriptor 3=Nutty
17,Methoxy dicyclopentadiene carboxaldehyde,COC1CC2CC1C3C2CC(C3)C=O,,,Jantar; Morski; Kislo; Zemeljski; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [COC1CC2CC1C3C2CC(C3)C=O]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Methoxy dicyclopentadiene carboxaldehyde]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Morski,Descriptor 2=Aldehydic;Descriptor 3=Floral
18,Decanenitrile,CCCCCCCCCC#N,,,Dimljen; Aromatičen; Agrum; Morski; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCCCCCCCC#N]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Decanenitrile]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Agrum,Descriptor 2=Tropical-Fruit;Descriptor 3=Green
