question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,Aromatický; Tabák jako; Námořní; Pikantní; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CC1C2CC3CC1C(C(C2)C3=C)O]? Vyberte pouze jednu z možností [Aromatický; Tabák jako; Námořní; Pikantní; ]. Nepište žádné komentáře.,"Jaký je primární deskriptor zápachu molekuly? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Vyberte pouze jednu z možností [Aromatický; Tabák jako; Námořní; Pikantní; ]. Nepište žádné komentáře.",Pikantní,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Květinový; Zadýmený; Sírový; Námořní; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CC1=CC(=C(C(=C1)C)O)C]? Vyberte pouze jednu z možností [Květinový; Zadýmený; Sírový; Námořní; ]. Nepište žádné komentáře.,"Jaký je primární deskriptor zápachu molekuly? [2,4,6-Trimethylphenol]? Vyberte pouze jednu z možností [Květinový; Zadýmený; Sírový; Námořní; ]. Nepište žádné komentáře.",Zadýmený,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Zelená; Med; Bylinný; Námořní; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCCCCCCC(OCC)OCC]? Vyberte pouze jednu z možností [Zelená; Med; Bylinný; Námořní; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [Octanal diethyl acetal]? Vyberte pouze jednu z možností [Zelená; Med; Bylinný; Námořní; ]. Nepište žádné komentáře.,Zelená,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Sírový; Jantar; Pikantní; Musk jako; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CC1C(C2CCCCC2C1(C)C)(C)C]? Vyberte pouze jednu z možností [Sírový; Jantar; Pikantní; Musk jako; ]. Nepište žádné komentáře.,"Jaký je primární deskriptor zápachu molekuly? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Vyberte pouze jednu z možností [Sírový; Jantar; Pikantní; Musk jako; ]. Nepište žádné komentáře.",Musk jako,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Pikantní; Námořní; Ozon; Pudry; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Vyberte pouze jednu z možností [Pikantní; Námořní; Ozon; Pudry; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [alpha-Ionol]? Vyberte pouze jednu z možností [Pikantní; Námořní; Ozon; Pudry; ]. Nepište žádné komentáře.,Pudry,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Musk jako; Pudry; Citrusové plody; Zadýmený; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Vyberte pouze jednu z možností [Musk jako; Pudry; Citrusové plody; Zadýmený; ]. Nepište žádné komentáře.,"Jaký je primární deskriptor zápachu molekuly? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Vyberte pouze jednu z možností [Musk jako; Pudry; Citrusové plody; Zadýmený; ]. Nepište žádné komentáře.",Pudry,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Med; Balsamico; Květinový; Zemitý; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Vyberte pouze jednu z možností [Med; Balsamico; Květinový; Zemitý; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [Piperine]? Vyberte pouze jednu z možností [Med; Balsamico; Květinový; Zemitý; ]. Nepište žádné komentáře.,Balsamico,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Jantar; Med; Zvířecí; Anisic; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CC(CO)C1CCCCCCCCCCC1]? Vyberte pouze jednu z možností [Jantar; Med; Zvířecí; Anisic; ]. Nepište žádné komentáře.,"Jaký je primární deskriptor zápachu molekuly? [Cyclododecaneethanol, .beta.-methyl-]? Vyberte pouze jednu z možností [Jantar; Med; Zvířecí; Anisic; ]. Nepište žádné komentáře.",Jantar,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,Woody; Musk jako; Tabák jako; Ovocný; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [C1CCCCC(=O)OCCCCCOCCCC1]? Vyberte pouze jednu z možností [Woody; Musk jako; Tabák jako; Ovocný; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [11-Oxahexadecanolide]? Vyberte pouze jednu z možností [Woody; Musk jako; Tabák jako; Ovocný; ]. Nepište žádné komentáře.,Musk jako,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anisic; Aromatický; Balsamico; Zemitý; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCCCC/C=C/COC(=O)C]? Vyberte pouze jednu z možností [Anisic; Aromatický; Balsamico; Zemitý; ]. Nepište žádné komentáře.,"Jaký je primární deskriptor zápachu molekuly? [2-Octen-1-ol, 1-acetate]? Vyberte pouze jednu z možností [Anisic; Aromatický; Balsamico; Zemitý; ]. Nepište žádné komentáře.",Zemitý,Descriptor 2=Mushroom;Descriptor 3=Lavender
