question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,Aromaattinen; Tupakka kuten; Merivoimat; Mausteinen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CC1C2CC3CC1C(C(C2)C3=C)O]? Valitse vain yksi seuraavista [Aromaattinen; Tupakka kuten; Merivoimat; Mausteinen; ]. Älä kirjoita kommentteja.,"Mikä on molekyylin ensisijainen hajun kuvaaja? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Valitse vain yksi seuraavista [Aromaattinen; Tupakka kuten; Merivoimat; Mausteinen; ]. Älä kirjoita kommentteja.",Mausteinen,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Kukkainen; Savuisa; Rikkipitoinen; Merivoimat; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CC1=CC(=C(C(=C1)C)O)C]? Valitse vain yksi seuraavista [Kukkainen; Savuisa; Rikkipitoinen; Merivoimat; ]. Älä kirjoita kommentteja.,"Mikä on molekyylin ensisijainen hajun kuvaaja? [2,4,6-Trimethylphenol]? Valitse vain yksi seuraavista [Kukkainen; Savuisa; Rikkipitoinen; Merivoimat; ]. Älä kirjoita kommentteja.",Savuisa,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Vihreä; Hunaja; Yrttinen; Merivoimat; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCCCCCCC(OCC)OCC]? Valitse vain yksi seuraavista [Vihreä; Hunaja; Yrttinen; Merivoimat; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [Octanal diethyl acetal]? Valitse vain yksi seuraavista [Vihreä; Hunaja; Yrttinen; Merivoimat; ]. Älä kirjoita kommentteja.,Vihreä,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Rikkipitoinen; Meripihka; Mausteinen; Musk kuten; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CC1C(C2CCCCC2C1(C)C)(C)C]? Valitse vain yksi seuraavista [Rikkipitoinen; Meripihka; Mausteinen; Musk kuten; ]. Älä kirjoita kommentteja.,"Mikä on molekyylin ensisijainen hajun kuvaaja? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Valitse vain yksi seuraavista [Rikkipitoinen; Meripihka; Mausteinen; Musk kuten; ]. Älä kirjoita kommentteja.",Musk kuten,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Mausteinen; Merivoimat; Otsoni; Jauhemaista; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Valitse vain yksi seuraavista [Mausteinen; Merivoimat; Otsoni; Jauhemaista; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [alpha-Ionol]? Valitse vain yksi seuraavista [Mausteinen; Merivoimat; Otsoni; Jauhemaista; ]. Älä kirjoita kommentteja.,Jauhemaista,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Musk kuten; Jauhemaista; Sitrushedelmät; Savuisa; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Valitse vain yksi seuraavista [Musk kuten; Jauhemaista; Sitrushedelmät; Savuisa; ]. Älä kirjoita kommentteja.,"Mikä on molekyylin ensisijainen hajun kuvaaja? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Valitse vain yksi seuraavista [Musk kuten; Jauhemaista; Sitrushedelmät; Savuisa; ]. Älä kirjoita kommentteja.",Jauhemaista,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Hunaja; Balsamico; Kukkainen; Maanläheinen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Valitse vain yksi seuraavista [Hunaja; Balsamico; Kukkainen; Maanläheinen; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [Piperine]? Valitse vain yksi seuraavista [Hunaja; Balsamico; Kukkainen; Maanläheinen; ]. Älä kirjoita kommentteja.,Balsamico,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Meripihka; Hunaja; Eläimen kaltainen; Anisic; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CC(CO)C1CCCCCCCCCCC1]? Valitse vain yksi seuraavista [Meripihka; Hunaja; Eläimen kaltainen; Anisic; ]. Älä kirjoita kommentteja.,"Mikä on molekyylin ensisijainen hajun kuvaaja? [Cyclododecaneethanol, .beta.-methyl-]? Valitse vain yksi seuraavista [Meripihka; Hunaja; Eläimen kaltainen; Anisic; ]. Älä kirjoita kommentteja.",Meripihka,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,Woody; Musk kuten; Tupakka kuten; Hedelmäinen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [C1CCCCC(=O)OCCCCCOCCCC1]? Valitse vain yksi seuraavista [Woody; Musk kuten; Tupakka kuten; Hedelmäinen; ]. Älä kirjoita kommentteja.,Mikä on molekyylin ensisijainen hajun kuvaaja? [11-Oxahexadecanolide]? Valitse vain yksi seuraavista [Woody; Musk kuten; Tupakka kuten; Hedelmäinen; ]. Älä kirjoita kommentteja.,Musk kuten,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anisic; Aromaattinen; Balsamico; Maanläheinen; ,primary_odor_descriptor,Mikä on molekyylin ensisijainen hajun kuvaaja? [CCCCC/C=C/COC(=O)C]? Valitse vain yksi seuraavista [Anisic; Aromaattinen; Balsamico; Maanläheinen; ]. Älä kirjoita kommentteja.,"Mikä on molekyylin ensisijainen hajun kuvaaja? [2-Octen-1-ol, 1-acetate]? Valitse vain yksi seuraavista [Anisic; Aromaattinen; Balsamico; Maanläheinen; ]. Älä kirjoita kommentteja.",Maanläheinen,Descriptor 2=Mushroom;Descriptor 3=Lavender
