question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Voedsel zoals; Spicy; Kruiden; Bloemen; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Selecteer slechts één uit de [Voedsel zoals; Spicy; Kruiden; Bloemen; ]. Schrijf geen opmerkingen.,"Wat is de primaire geurdescriptor van molecuul? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Selecteer slechts één uit de [Voedsel zoals; Spicy; Kruiden; Bloemen; ]. Schrijf geen opmerkingen.",Bloemen,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Amber; Kruiden; Spicy; Citrus; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCCC1=CC2=C(C=C1)OCO2]? Selecteer slechts één uit de [Amber; Kruiden; Spicy; Citrus; ]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [Dihydrosafrole]? Selecteer slechts één uit de [Amber; Kruiden; Spicy; Citrus; ]. Schrijf geen opmerkingen.,Spicy,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Balsamico; Kruiden; Voedsel zoals; Fruitig; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCCCCCOC(=O)CC(C)C]? Selecteer slechts één uit de [Balsamico; Kruiden; Voedsel zoals; Fruitig; ]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [Hexyl isovalerate]? Selecteer slechts één uit de [Balsamico; Kruiden; Voedsel zoals; Fruitig; ]. Schrijf geen opmerkingen.,Fruitig,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Woody; Rokerig; Musk-achtig; Fruitig; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCCC(CCO)SC]? Selecteer slechts één uit de [Woody; Rokerig; Musk-achtig; Fruitig; ]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [3-(Methylthio)-1-hexanol]? Selecteer slechts één uit de [Woody; Rokerig; Musk-achtig; Fruitig; ]. Schrijf geen opmerkingen.,Fruitig,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Balsamico; Voedsel zoals; Woody; Musk-achtig; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCC1=NC(=CS1)C]? Selecteer slechts één uit de [Balsamico; Voedsel zoals; Woody; Musk-achtig; ]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [2-Ethyl-4-methylthiazole]? Selecteer slechts één uit de [Balsamico; Voedsel zoals; Woody; Musk-achtig; ]. Schrijf geen opmerkingen.,Voedsel zoals,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Fruitig; Minty; Citrus; Bloemen; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCCCCCCCCCCCCC(=O)C]? Selecteer slechts één uit de [Fruitig; Minty; Citrus; Bloemen; ]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [2-Pentadecanone]? Selecteer slechts één uit de [Fruitig; Minty; Citrus; Bloemen; ]. Schrijf geen opmerkingen.,Bloemen,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Rokerig; Groen; Kruiden; Fruitig; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Selecteer slechts één uit de [Rokerig; Groen; Kruiden; Fruitig; ]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [Carvyl propionate]? Selecteer slechts één uit de [Rokerig; Groen; Kruiden; Fruitig; ]. Schrijf geen opmerkingen.,Kruiden,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Groen; Fruitig; Aldehydisch; Ozon; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCCCCCC(=O)CC]? Selecteer slechts één uit de [Groen; Fruitig; Aldehydisch; Ozon; ]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [3-Nonanone]? Selecteer slechts één uit de [Groen; Fruitig; Aldehydisch; Ozon; ]. Schrijf geen opmerkingen.,Fruitig,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromatisch; Marine; Kruiden; Balsamico; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Selecteer slechts één uit de [Aromatisch; Marine; Kruiden; Balsamico; ]. Schrijf geen opmerkingen.,"Wat is de primaire geurdescriptor van molecuul? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Selecteer slechts één uit de [Aromatisch; Marine; Kruiden; Balsamico; ]. Schrijf geen opmerkingen.",Kruiden,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Citrus; Honing; Rokerig; Kruiden; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Selecteer slechts één uit de [Citrus; Honing; Rokerig; Kruiden; ]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [Isobornyl acetate]? Selecteer slechts één uit de [Citrus; Honing; Rokerig; Kruiden; ]. Schrijf geen opmerkingen.,Kruiden,Descriptor 2=Pine;Descriptor 3=Green
11,Isoamyl alcohol,CC(C)CCO,,,Musk-achtig; Fruitig; Ozon; Groen; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CC(C)CCO]? Selecteer slechts één uit de [Musk-achtig; Fruitig; Ozon; Groen; ]. Schrijf geen opmerkingen.,Wat is de primaire geurdescriptor van molecuul? [Isoamyl alcohol]? Selecteer slechts één uit de [Musk-achtig; Fruitig; Ozon; Groen; ]. Schrijf geen opmerkingen.,Fruitig,Descriptor 2=Apple;Descriptor 3=Pear
12,"Undecenoic acid, 3-methylbutyl ester",CCCC/C=C/CCCCC(=O)OCCC(C)C,,,Zuur; Kruiden; Bloemen; Aldehydisch; ,primary_odor_descriptor,Wat is de primaire geurdescriptor van molecuul? [CCCC/C=C/CCCCC(=O)OCCC(C)C]? Selecteer slechts één uit de [Zuur; Kruiden; Bloemen; Aldehydisch; ]. Schrijf geen opmerkingen.,"Wat is de primaire geurdescriptor van molecuul? [Undecenoic acid, 3-methylbutyl ester]? Selecteer slechts één uit de [Zuur; Kruiden; Bloemen; Aldehydisch; ]. Schrijf geen opmerkingen.",Bloemen,Descriptor 2=Rose;Descriptor 3=Oily
