question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,Aromático; Tabaco como; Marina; Picante; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [CC1C2CC3CC1C(C(C2)C3=C)O]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,"¿Cuál es el principal descriptor del olor de la molécula? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..",Picante,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Floral; Humeante; Sulfuroso; Marina; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [CC1=CC(=C(C(=C1)C)O)C]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,"¿Cuál es el principal descriptor del olor de la molécula? [2,4,6-Trimethylphenol]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..",Humeante,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Verde; Miel; Hierbas; Marina; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [CCCCCCCC(OCC)OCC]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,¿Cuál es el principal descriptor del olor de la molécula? [Octanal diethyl acetal]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,Verde,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Sulfuroso; Ámbar; Picante; Algo parecido al almizcle; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [CC1C(C2CCCCC2C1(C)C)(C)C]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,"¿Cuál es el principal descriptor del olor de la molécula? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..",Algo parecido al almizcle,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Picante; Marina; Ozono; Polvos; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,¿Cuál es el principal descriptor del olor de la molécula? [alpha-Ionol]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,Polvos,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Algo parecido al almizcle; Polvos; Cítricos; Humeante; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,"¿Cuál es el principal descriptor del olor de la molécula? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..",Polvos,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Miel; Balsámico; Floral; Terroso; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,¿Cuál es el principal descriptor del olor de la molécula? [Piperine]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,Balsámico,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Ámbar; Miel; Animal como; Anísico; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [CC(CO)C1CCCCCCCCCCC1]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,"¿Cuál es el principal descriptor del olor de la molécula? [Cyclododecaneethanol, .beta.-methyl-]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..",Ámbar,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,Leñoso; Algo parecido al almizcle; Tabaco como; Afrutado; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [C1CCCCC(=O)OCCCCCOCCCC1]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,¿Cuál es el principal descriptor del olor de la molécula? [11-Oxahexadecanolide]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,Algo parecido al almizcle,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anísico; Aromático; Balsámico; Terroso; ,primary_odor_descriptor,¿Cuál es el principal descriptor del olor de la molécula? [CCCCC/C=C/COC(=O)C]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..,"¿Cuál es el principal descriptor del olor de la molécula? [2-Octen-1-ol, 1-acetate]? Seleccione solo uno de los siguientes [OPTIONS]. No escribas ningún comentario..",Terroso,Descriptor 2=Mushroom;Descriptor 3=Lavender
