question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,"Hrana, kot je; Pikantno; Zeliščni; Cvetlični; ",primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Kaj je primarni opis vonja molekule? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.",Cvetlični,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Jantar; Zeliščni; Pikantno; Agrum; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCC1=CC2=C(C=C1)OCO2]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Dihydrosafrole]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Pikantno,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,"Balsamični; Zeliščni; Hrana, kot je; Sadni; ",primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCCCCOC(=O)CC(C)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Hexyl isovalerate]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Sadni,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Lesnat; Dimljen; Musk kot; Sadni; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCC(CCO)SC]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [3-(Methylthio)-1-hexanol]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Sadni,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,"Balsamični; Hrana, kot je; Lesnat; Musk kot; ",primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCC1=NC(=CS1)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [2-Ethyl-4-methylthiazole]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Hrana, kot je",Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Sadni; Minty; Agrum; Cvetlični; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCCCCCCCCCCCC(=O)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [2-Pentadecanone]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Cvetlični,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Dimljen; Zeleno; Zeliščni; Sadni; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Carvyl propionate]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Zeliščni,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Zeleno; Sadni; Aldehidni; Ozon; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCCCCCC(=O)CC]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [3-Nonanone]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Sadni,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromatičen; Morski; Zeliščni; Balsamični; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,"Kaj je primarni opis vonja molekule? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.",Zeliščni,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Agrum; Med; Dimljen; Zeliščni; ,primary_odor_descriptor,Kaj je primarni opis vonja molekule? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Kaj je primarni opis vonja molekule? [Isobornyl acetate]? Izberite samo eno izmed naslednjih možnosti [OPTIONS]. Ne pišite komentarjev.,Zeliščni,Descriptor 2=Pine;Descriptor 3=Green
