question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Jídlo jako; Pikantní; Bylinný; Květinový; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Vyberte pouze jednu z možností [Jídlo jako; Pikantní; Bylinný; Květinový; ]. Nepište žádné komentáře.,"Jaký je primární deskriptor zápachu molekuly? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Vyberte pouze jednu z možností [Jídlo jako; Pikantní; Bylinný; Květinový; ]. Nepište žádné komentáře.",Květinový,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Jantar; Bylinný; Pikantní; Citrusové plody; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCCC1=CC2=C(C=C1)OCO2]? Vyberte pouze jednu z možností [Jantar; Bylinný; Pikantní; Citrusové plody; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [Dihydrosafrole]? Vyberte pouze jednu z možností [Jantar; Bylinný; Pikantní; Citrusové plody; ]. Nepište žádné komentáře.,Pikantní,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Balsamico; Bylinný; Jídlo jako; Ovocný; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCCCCCOC(=O)CC(C)C]? Vyberte pouze jednu z možností [Balsamico; Bylinný; Jídlo jako; Ovocný; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [Hexyl isovalerate]? Vyberte pouze jednu z možností [Balsamico; Bylinný; Jídlo jako; Ovocný; ]. Nepište žádné komentáře.,Ovocný,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Woody; Zadýmený; Musk jako; Ovocný; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCCC(CCO)SC]? Vyberte pouze jednu z možností [Woody; Zadýmený; Musk jako; Ovocný; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [3-(Methylthio)-1-hexanol]? Vyberte pouze jednu z možností [Woody; Zadýmený; Musk jako; Ovocný; ]. Nepište žádné komentáře.,Ovocný,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Balsamico; Jídlo jako; Woody; Musk jako; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCC1=NC(=CS1)C]? Vyberte pouze jednu z možností [Balsamico; Jídlo jako; Woody; Musk jako; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [2-Ethyl-4-methylthiazole]? Vyberte pouze jednu z možností [Balsamico; Jídlo jako; Woody; Musk jako; ]. Nepište žádné komentáře.,Jídlo jako,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Ovocný; Minty; Citrusové plody; Květinový; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCCCCCCCCCCCCC(=O)C]? Vyberte pouze jednu z možností [Ovocný; Minty; Citrusové plody; Květinový; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [2-Pentadecanone]? Vyberte pouze jednu z možností [Ovocný; Minty; Citrusové plody; Květinový; ]. Nepište žádné komentáře.,Květinový,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Zadýmený; Zelená; Bylinný; Ovocný; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Vyberte pouze jednu z možností [Zadýmený; Zelená; Bylinný; Ovocný; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [Carvyl propionate]? Vyberte pouze jednu z možností [Zadýmený; Zelená; Bylinný; Ovocný; ]. Nepište žádné komentáře.,Bylinný,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Zelená; Ovocný; Aldehydový; Ozon; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCCCCCC(=O)CC]? Vyberte pouze jednu z možností [Zelená; Ovocný; Aldehydový; Ozon; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [3-Nonanone]? Vyberte pouze jednu z možností [Zelená; Ovocný; Aldehydový; Ozon; ]. Nepište žádné komentáře.,Ovocný,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromatický; Námořní; Bylinný; Balsamico; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Vyberte pouze jednu z možností [Aromatický; Námořní; Bylinný; Balsamico; ]. Nepište žádné komentáře.,"Jaký je primární deskriptor zápachu molekuly? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Vyberte pouze jednu z možností [Aromatický; Námořní; Bylinný; Balsamico; ]. Nepište žádné komentáře.",Bylinný,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Citrusové plody; Med; Zadýmený; Bylinný; ,primary_odor_descriptor,Jaký je primární deskriptor zápachu molekuly? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Vyberte pouze jednu z možností [Citrusové plody; Med; Zadýmený; Bylinný; ]. Nepište žádné komentáře.,Jaký je primární deskriptor zápachu molekuly? [Isobornyl acetate]? Vyberte pouze jednu z možností [Citrusové plody; Med; Zadýmený; Bylinný; ]. Nepište žádné komentáře.,Bylinný,Descriptor 2=Pine;Descriptor 3=Green
