question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,Aromático; Tabaco como; Marinha; Picante; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CC1C2CC3CC1C(C(C2)C3=C)O]? Selecione apenas uma das opções [Aromático; Tabaco como; Marinha; Picante; ]. Não escreva comentários.,"Qual é o principal descritor de odor da molécula? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Selecione apenas uma das opções [Aromático; Tabaco como; Marinha; Picante; ]. Não escreva comentários.",Picante,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Floral; Fumegante; Sulfuroso; Marinha; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CC1=CC(=C(C(=C1)C)O)C]? Selecione apenas uma das opções [Floral; Fumegante; Sulfuroso; Marinha; ]. Não escreva comentários.,"Qual é o principal descritor de odor da molécula? [2,4,6-Trimethylphenol]? Selecione apenas uma das opções [Floral; Fumegante; Sulfuroso; Marinha; ]. Não escreva comentários.",Fumegante,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Verde; Mel; Ervas; Marinha; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCCCCCCC(OCC)OCC]? Selecione apenas uma das opções [Verde; Mel; Ervas; Marinha; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [Octanal diethyl acetal]? Selecione apenas uma das opções [Verde; Mel; Ervas; Marinha; ]. Não escreva comentários.,Verde,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Sulfuroso; Âmbar; Picante; Musk como; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CC1C(C2CCCCC2C1(C)C)(C)C]? Selecione apenas uma das opções [Sulfuroso; Âmbar; Picante; Musk como; ]. Não escreva comentários.,"Qual é o principal descritor de odor da molécula? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Selecione apenas uma das opções [Sulfuroso; Âmbar; Picante; Musk como; ]. Não escreva comentários.",Musk como,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Picante; Marinha; Ozono; Pó; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Selecione apenas uma das opções [Picante; Marinha; Ozono; Pó; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [alpha-Ionol]? Selecione apenas uma das opções [Picante; Marinha; Ozono; Pó; ]. Não escreva comentários.,Pó,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Musk como; Pó; Citrus; Fumegante; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Selecione apenas uma das opções [Musk como; Pó; Citrus; Fumegante; ]. Não escreva comentários.,"Qual é o principal descritor de odor da molécula? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Selecione apenas uma das opções [Musk como; Pó; Citrus; Fumegante; ]. Não escreva comentários.",Pó,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Mel; Balsâmico; Floral; Terroso; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Selecione apenas uma das opções [Mel; Balsâmico; Floral; Terroso; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [Piperine]? Selecione apenas uma das opções [Mel; Balsâmico; Floral; Terroso; ]. Não escreva comentários.,Balsâmico,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Âmbar; Mel; Semelhante a um animal; Anísico; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CC(CO)C1CCCCCCCCCCC1]? Selecione apenas uma das opções [Âmbar; Mel; Semelhante a um animal; Anísico; ]. Não escreva comentários.,"Qual é o principal descritor de odor da molécula? [Cyclododecaneethanol, .beta.-methyl-]? Selecione apenas uma das opções [Âmbar; Mel; Semelhante a um animal; Anísico; ]. Não escreva comentários.",Âmbar,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,Woody; Musk como; Tabaco como; Frutado; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [C1CCCCC(=O)OCCCCCOCCCC1]? Selecione apenas uma das opções [Woody; Musk como; Tabaco como; Frutado; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [11-Oxahexadecanolide]? Selecione apenas uma das opções [Woody; Musk como; Tabaco como; Frutado; ]. Não escreva comentários.,Musk como,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anísico; Aromático; Balsâmico; Terroso; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCCCC/C=C/COC(=O)C]? Selecione apenas uma das opções [Anísico; Aromático; Balsâmico; Terroso; ]. Não escreva comentários.,"Qual é o principal descritor de odor da molécula? [2-Octen-1-ol, 1-acetate]? Selecione apenas uma das opções [Anísico; Aromático; Balsâmico; Terroso; ]. Não escreva comentários.",Terroso,Descriptor 2=Mushroom;Descriptor 3=Lavender
