question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info,answer_to_prompt_1,answer_to_prompt_2,input_tokens_1,input_tokens_2,output_tokens_1,output_tokens_2,thinking_tokens_1,thinking_tokens_2
1,"2,3-Dimethylpentanal",CCC(C)C(C)C=O,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CCC(C)C(C)C=O? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,"Які з наведених нижче дескрипторів запаху застосовуються до молекули 2,3-Dimethylpentanal? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.",ефірний;зелений;,,альдегідний; восковий; горіховий; жирний; зелений; какаовий; різкий; солодкий; фруктовий; шоколадний,альдегідний; вершковий; восковий; горіховий; жирний; затхлий; зелений; какаовий; цитрусовий; шоколадний,677,674,39,41,2841,2033
2,Diisopentyl succinate,CC(C)CCOC(=O)CCC(=O)OCCC(C)C,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CC(C)CCOC(=O)CCC(=O)OCCC(C)C? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,Які з наведених нижче дескрипторів запаху застосовуються до молекули Diisopentyl succinate? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,виноградний;винний;фруктовий;,,ананасовий; винний; виноградний; грушевий; солодкий; фруктовий; яблучний,"винний
восковий
жирний
зелений
солодкий
фруктовий",684,672,29,23,3017,2338
3,"1,1-Diethoxyisooctane",CCOC(CCCCC(C)C)OCC,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CCOC(CCCCC(C)C)OCC? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,"Які з наведених нижче дескрипторів запаху застосовуються до молекули 1,1-Diethoxyisooctane? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.",зелений;фруктовий;листяний;,,квітковий; свіжий; зелений; гіацинтовий; конвалія; листяний; трояндовий,"цитрусовий;
ефірний;
жирний;
фруктова шкірка;
зелений;
восковий;
деревний;",675,677,27,37,1724,3265
4,4-Methyl-2-(methylsulfanylmethyl)pent-2-enal,CSCC(C=O)=CC(C)C,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CSCC(C=O)=CC(C)C? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,Які з наведених нижче дескрипторів запаху застосовуються до молекули 4-Methyl-2-(methylsulfanylmethyl)pent-2-enal? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,сірчистий;їдкий;трав'яний;пряний;,,альдегідний; яловичий; капустяний; варений; жирний; часниковий; м'ясний; цибулевий; картопляний; їдкий; редьковий; підсмажений; пікантний; різкий; пряний; сірчистий; овочевий,альдегідний; варений; зелений; м'ясний; овочевий; пікантний; підсмажений; різкий; сірчистий; цибулевий; цибулево-часниковий; часниковий; їдкий.,678,681,71,61,5756,3643
5,"Butanoic acid, 3-methyl-, pentyl ester",CCCCCOC(=O)CC(C)C,,,алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ,rata,Які з наведених нижче дескрипторів запаху застосовуються до молекули CCCCCOC(=O)CC(C)C? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.,"Які з наведених нижче дескрипторів запаху застосовуються до молекули Butanoic acid, 3-methyl-, pentyl ester? Виберіть усі відповідні варіанти із [алкогольний; альдегідний; цибулево-часниковий; мигдальний; амбровий; анімалістичний; анісовий; яблучний; абрикосовий; ароматичний; бальзамічний; банановий; яловичий; бергамотовий; ягідний; гіркий; чорносмородиновий; бренді; підгорілий; масляний; капустяний; камфорний; карамельний; кедровий; селеровий; ромашковий; сирний; вишневий; шоколадний; коричний; цитрусовий; чистий; гвоздичний; какаовий; кокосовий; кавовий; коньячний; варений; прохолодний; корковий; кумариновий; вершковий; огірковий; молочний; сухий; землистий; ефірний; жирний; ферментований; рибний; квітковий; свіжий; фруктова шкірка; фруктовий; часниковий; газовий; геранієвий; виноградний; грейпфрутовий; трав'янистий; зелений; глодовий; сінний; фундуковий; трав'яний; медовий; гіацинтовий; жасминовий; соковитий; кетоновий; лактонний; лавандовий; листяний; шкіряний; лимонний; лілійний; солодовий; м'ясний; медикаментозний; динний; металевий; молочнистий; м'ятний; конвалія; грибний; мускусний; затхлий; натуральний; горіховий; без запаху; олійний; цибулевий; апельсиновий; апельсиновий цвіт; ірисовий корінь; озоновий; персиковий; грушевий; фенольний; сосновий; ананасовий; сливовий; попкорновий; картопляний; пудровий; їдкий; редьковий; малиновий; стиглий; підсмажений; трояндовий; ромовий; сандаловий; пікантний; різкий; димний; мильний; розчинниковий; кислий; пряний; полуничний; сірчистий; пітний; солодкий; чайний; терпеновий; тютюновий; томатний; тропічний; ванільний; овочевий; ветиверовий; фіалковий; теплий; восковий; бур'янистий; винний; деревний; ]. Не пишіть жодних коментарів.",свіжий;фруктовий;шоколадний;банановий;яблучний;,,"яблучний;
банановий;
ефірний;
свіжий;
фруктовий;
соковитий;
грушевий;
ананасовий;
стиглий;
солодкий;
тропічний;",абрикосовий; банановий; грушевий; ефірний; соковитий; солодкий; стиглий; тропічний; фруктовий; яблучний,676,678,59,43,2145,1489
