question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,Aromatický; Tabak ako; Námorný; Pikantné; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CC1C2CC3CC1C(C(C2)C3=C)O]? Vyberte len jednu z možností [Aromatický; Tabak ako; Námorný; Pikantné; ]. Nepíšte žiadne komentáre.,"Aký je primárny deskriptor zápachu molekuly? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Vyberte len jednu z možností [Aromatický; Tabak ako; Námorný; Pikantné; ]. Nepíšte žiadne komentáre.",Pikantné,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Kvetinový; Dymový; Sírový; Námorný; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CC1=CC(=C(C(=C1)C)O)C]? Vyberte len jednu z možností [Kvetinový; Dymový; Sírový; Námorný; ]. Nepíšte žiadne komentáre.,"Aký je primárny deskriptor zápachu molekuly? [2,4,6-Trimethylphenol]? Vyberte len jednu z možností [Kvetinový; Dymový; Sírový; Námorný; ]. Nepíšte žiadne komentáre.",Dymový,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Zelená; Med; Bylinný; Námorný; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCCCCCCC(OCC)OCC]? Vyberte len jednu z možností [Zelená; Med; Bylinný; Námorný; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [Octanal diethyl acetal]? Vyberte len jednu z možností [Zelená; Med; Bylinný; Námorný; ]. Nepíšte žiadne komentáre.,Zelená,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Sírový; Jantár; Pikantné; Musk ako; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CC1C(C2CCCCC2C1(C)C)(C)C]? Vyberte len jednu z možností [Sírový; Jantár; Pikantné; Musk ako; ]. Nepíšte žiadne komentáre.,"Aký je primárny deskriptor zápachu molekuly? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Vyberte len jednu z možností [Sírový; Jantár; Pikantné; Musk ako; ]. Nepíšte žiadne komentáre.",Musk ako,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Pikantné; Námorný; Ózon; Pudrový; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Vyberte len jednu z možností [Pikantné; Námorný; Ózon; Pudrový; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [alpha-Ionol]? Vyberte len jednu z možností [Pikantné; Námorný; Ózon; Pudrový; ]. Nepíšte žiadne komentáre.,Pudrový,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Musk ako; Pudrový; Citrus; Dymový; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Vyberte len jednu z možností [Musk ako; Pudrový; Citrus; Dymový; ]. Nepíšte žiadne komentáre.,"Aký je primárny deskriptor zápachu molekuly? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Vyberte len jednu z možností [Musk ako; Pudrový; Citrus; Dymový; ]. Nepíšte žiadne komentáre.",Pudrový,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Med; Balsamico; Kvetinový; Zemitý; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Vyberte len jednu z možností [Med; Balsamico; Kvetinový; Zemitý; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [Piperine]? Vyberte len jednu z možností [Med; Balsamico; Kvetinový; Zemitý; ]. Nepíšte žiadne komentáre.,Balsamico,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Jantár; Med; Zvieracie; Anisic; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CC(CO)C1CCCCCCCCCCC1]? Vyberte len jednu z možností [Jantár; Med; Zvieracie; Anisic; ]. Nepíšte žiadne komentáre.,"Aký je primárny deskriptor zápachu molekuly? [Cyclododecaneethanol, .beta.-methyl-]? Vyberte len jednu z možností [Jantár; Med; Zvieracie; Anisic; ]. Nepíšte žiadne komentáre.",Jantár,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,Woody; Musk ako; Tabak ako; Ovocný; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [C1CCCCC(=O)OCCCCCOCCCC1]? Vyberte len jednu z možností [Woody; Musk ako; Tabak ako; Ovocný; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [11-Oxahexadecanolide]? Vyberte len jednu z možností [Woody; Musk ako; Tabak ako; Ovocný; ]. Nepíšte žiadne komentáre.,Musk ako,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anisic; Aromatický; Balsamico; Zemitý; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCCCC/C=C/COC(=O)C]? Vyberte len jednu z možností [Anisic; Aromatický; Balsamico; Zemitý; ]. Nepíšte žiadne komentáre.,"Aký je primárny deskriptor zápachu molekuly? [2-Octen-1-ol, 1-acetate]? Vyberte len jednu z možností [Anisic; Aromatický; Balsamico; Zemitý; ]. Nepíšte žiadne komentáre.",Zemitý,Descriptor 2=Mushroom;Descriptor 3=Lavender
