question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,2-hydroxybenzaldehyde,C1=CC=C(C(=C1)C=O)O,ethyl hexanoate,CCCCCC(=O)OCC,{C1=CC=C(C(=C1)C=O)O;2-hydroxybenzaldehyde};{CCCCCC(=O)OCC;ethyl hexanoate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C1=CC=C(C(=C1)C=O)O or CCCCCC(=O)OCC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2-hydroxybenzaldehyde or ethyl hexanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCC(=O)OCC;ethyl hexanoate,SMILES_1 PLEASANTNESS=29.659574468;SMILES_2 PLEASANTNESS=79.1875
2,"2-(4-methyl-1,3-thiazol-5-yl)ethyl acetate",CC1=C(SC=N1)CCOC(=O)C,"5,6,7,8-tetrahydroquinoxaline",C1CCC2=NC=CN=C2C1,"{CC1=C(SC=N1)CCOC(=O)C;2-(4-methyl-1,3-thiazol-5-yl)ethyl acetate};{C1CCC2=NC=CN=C2C1;5,6,7,8-tetrahydroquinoxaline}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1=C(SC=N1)CCOC(=O)C or C1CCC2=NC=CN=C2C1? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2-(4-methyl-1,3-thiazol-5-yl)ethyl acetate or 5,6,7,8-tetrahydroquinoxaline? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","C1CCC2=NC=CN=C2C1;5,6,7,8-tetrahydroquinoxaline",SMILES_1 PLEASANTNESS=36.0;SMILES_2 PLEASANTNESS=56.166666667
3,"6,6-dimethylbicyclo[3.1.1]hept-2-ene-2-carbaldehyde",CC1(C2CC=C(C1C2)C=O)C,4-hydroxy-3-methoxybenzaldehyde,COC1=C(C=CC(=C1)C=O)O,"{CC1(C2CC=C(C1C2)C=O)C;6,6-dimethylbicyclo[3.1.1]hept-2-ene-2-carbaldehyde};{COC1=C(C=CC(=C1)C=O)O;4-hydroxy-3-methoxybenzaldehyde}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1(C2CC=C(C1C2)C=O)C or COC1=C(C=CC(=C1)C=O)O? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 6,6-dimethylbicyclo[3.1.1]hept-2-ene-2-carbaldehyde or 4-hydroxy-3-methoxybenzaldehyde? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",COC1=C(C=CC(=C1)C=O)O;4-hydroxy-3-methoxybenzaldehyde,SMILES_1 PLEASANTNESS=39.238095238;SMILES_2 PLEASANTNESS=85.553191489
4,"2,6-dimethylpyridine",CC1=NC(=CC=C1)C,5-butyl-4-methyloxolan-2-one,CCCCC1C(CC(=O)O1)C,"{CC1=NC(=CC=C1)C;2,6-dimethylpyridine};{CCCCC1C(CC(=O)O1)C;5-butyl-4-methyloxolan-2-one}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1=NC(=CC=C1)C or CCCCC1C(CC(=O)O1)C? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2,6-dimethylpyridine or 5-butyl-4-methyloxolan-2-one? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCC1C(CC(=O)O1)C;5-butyl-4-methyloxolan-2-one,SMILES_1 PLEASANTNESS=29.0;SMILES_2 PLEASANTNESS=68.791666667
5,"1-(3,5-dimethylpyrazin-2-yl)ethanone",CC1=CN=C(C(=N1)C)C(=O)C,ethyl undecanoate,CCCCCCCCCCC(=O)OCC,"{CC1=CN=C(C(=N1)C)C(=O)C;1-(3,5-dimethylpyrazin-2-yl)ethanone};{CCCCCCCCCCC(=O)OCC;ethyl undecanoate}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1=CN=C(C(=N1)C)C(=O)C or CCCCCCCCCCC(=O)OCC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 1-(3,5-dimethylpyrazin-2-yl)ethanone or ethyl undecanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCCCCCCC(=O)OCC;ethyl undecanoate,SMILES_1 PLEASANTNESS=32.489795918;SMILES_2 PLEASANTNESS=54.659574468
6,2-tert-butyl-4-methoxyphenol,CC(C)(C)C1=C(C=CC(=C1)OC)O,heptan-1-ol,CCCCCCCO,{CC(C)(C)C1=C(C=CC(=C1)OC)O;2-tert-butyl-4-methoxyphenol};{CCCCCCCO;heptan-1-ol},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC(C)(C)C1=C(C=CC(=C1)OC)O or CCCCCCCO? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2-tert-butyl-4-methoxyphenol or heptan-1-ol? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCCCO;heptan-1-ol,SMILES_1 PLEASANTNESS=37.0;SMILES_2 PLEASANTNESS=50.308510638
7,(4-methylphenyl) acetate,CC1=CC=C(C=C1)OC(=O)C,ethyl furan-2-carboxylate,CCOC(=O)C1=CC=CO1,{CC1=CC=C(C=C1)OC(=O)C;(4-methylphenyl) acetate};{CCOC(=O)C1=CC=CO1;ethyl furan-2-carboxylate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1=CC=C(C=C1)OC(=O)C or CCOC(=O)C1=CC=CO1? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: (4-methylphenyl) acetate or ethyl furan-2-carboxylate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CC1=CC=C(C=C1)OC(=O)C;(4-methylphenyl) acetate,SMILES_1 PLEASANTNESS=49.0;SMILES_2 PLEASANTNESS=33.979166667
8,"2,6-dimethylpyridine",CC1=NC(=CC=C1)C,"1,2-dimethoxy-4-[(E)-prop-1-enyl]benzene",C/C=C/C1=CC(=C(C=C1)OC)OC,"{CC1=NC(=CC=C1)C;2,6-dimethylpyridine};{C/C=C/C1=CC(=C(C=C1)OC)OC;1,2-dimethoxy-4-[(E)-prop-1-enyl]benzene}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1=NC(=CC=C1)C or C/C=C/C1=CC(=C(C=C1)OC)OC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2,6-dimethylpyridine or 1,2-dimethoxy-4-[(E)-prop-1-enyl]benzene? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","C/C=C/C1=CC(=C(C=C1)OC)OC;1,2-dimethoxy-4-[(E)-prop-1-enyl]benzene",SMILES_1 PLEASANTNESS=29.0;SMILES_2 PLEASANTNESS=57.583333333
9,oct-1-en-3-ol,CCCCCC(C=C)O,ethyl 2-methylpentanoate,CCCC(C)C(=O)OCC,{CCCCCC(C=C)O;oct-1-en-3-ol};{CCCC(C)C(=O)OCC;ethyl 2-methylpentanoate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCCC(C=C)O or CCCC(C)C(=O)OCC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: oct-1-en-3-ol or ethyl 2-methylpentanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCC(C)C(=O)OCC;ethyl 2-methylpentanoate,SMILES_1 PLEASANTNESS=40.795918367;SMILES_2 PLEASANTNESS=74.791666667
10,3-methylbutyl octanoate,CCCCCCCC(=O)OCCC(C)C,benzyl 2-phenylacetate,C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,{CCCCCCCC(=O)OCCC(C)C;3-methylbutyl octanoate};{C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2;benzyl 2-phenylacetate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCCCCC(=O)OCCC(C)C or C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 3-methylbutyl octanoate or benzyl 2-phenylacetate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCCCC(=O)OCCC(C)C;3-methylbutyl octanoate,SMILES_1 PLEASANTNESS=50.276595745;SMILES_2 PLEASANTNESS=30.12195122
