question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",CC1C2CC3CC1C(C(C2)C3=C)O,,,"Aromás; Dohány, mint például; tengerész; Fűszeres; ",primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC1C2CC3CC1C(C(C2)C3=C)O]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,"Mi a molekula elsődleges szagleírója? [Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.",Fűszeres,Descriptor 2=Herbal;Descriptor 3=Camphoraceous
2,"2,4,6-Trimethylphenol",CC1=CC(=C(C(=C1)C)O)C,,,Virágos; Füstös; Kénes; tengerész; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC1=CC(=C(C(=C1)C)O)C]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,"Mi a molekula elsődleges szagleírója? [2,4,6-Trimethylphenol]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.",Füstös,Descriptor 2=Phenolic;Descriptor 3=Coffee
3,Octanal diethyl acetal,CCCCCCCC(OCC)OCC,,,Zöld; Méz; Gyógynövényes; tengerész; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCCCCCC(OCC)OCC]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [Octanal diethyl acetal]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,Zöld,Descriptor 2=Citrus;Descriptor 3=Oily
4,"Octahydro-1,1,2,3,3-pentamethyl-1H-indene",CC1C(C2CCCCC2C1(C)C)(C)C,,,Kénes; Borostyán; Fűszeres; Musk-szerű; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC1C(C2CCCCC2C1(C)C)(C)C]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,"Mi a molekula elsődleges szagleírója? [Octahydro-1,1,2,3,3-pentamethyl-1H-indene]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.",Musk-szerű,Descriptor 2=Warm;Descriptor 3=Floral
5,alpha-Ionol,CC1=CCCC(C1/C=C/C(C)O)(C)C,,,Fűszeres; tengerész; Ózon; Púderes; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC1=CCCC(C1/C=C/C(C)O)(C)C]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [alpha-Ionol]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,Púderes,Descriptor 2=Floral;Descriptor 3=Gourmand
6,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C,,,Musk-szerű; Púderes; Citrus; Füstös; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC1([C@H]2C[C@H]3CCC(=O)C=C3[C@@H]1C2)C]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,"Mi a molekula elsődleges szagleírója? [2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.",Púderes,Descriptor 2=Woody;Descriptor 3=Tobacco
7,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,,,Méz; Balsamico; Virágos; Földes; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [Piperine]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,Balsamico,Descriptor 2=Animal Like;Descriptor 3=Peppery
8,"Cyclododecaneethanol, .beta.-methyl-",CC(CO)C1CCCCCCCCCCC1,,,Borostyán; Méz; Állatszerű; Anisic; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CC(CO)C1CCCCCCCCCCC1]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,"Mi a molekula elsődleges szagleírója? [Cyclododecaneethanol, .beta.-methyl-]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.",Borostyán,Descriptor 2=Dry;Descriptor 3=Woody
9,11-Oxahexadecanolide,C1CCCCC(=O)OCCCCCOCCCC1,,,"Woody; Musk-szerű; Dohány, mint például; Gyümölcsös; ",primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [C1CCCCC(=O)OCCCCCOCCCC1]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,Mi a molekula elsődleges szagleírója? [11-Oxahexadecanolide]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,Musk-szerű,Descriptor 2=Powdery;Descriptor 3=Creamy
10,"2-Octen-1-ol, 1-acetate",CCCCC/C=C/COC(=O)C,,,Anisic; Aromás; Balsamico; Földes; ,primary_odor_descriptor,Mi a molekula elsődleges szagleírója? [CCCCC/C=C/COC(=O)C]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.,"Mi a molekula elsődleges szagleírója? [2-Octen-1-ol, 1-acetate]? Válasszon csak egyet a [OPTIONS]. Ne írj megjegyzéseket!.",Földes,Descriptor 2=Mushroom;Descriptor 3=Lavender
