question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Alimentos semelhantes; Picante; Ervas; Floral; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Selecione apenas uma das opções [Alimentos semelhantes; Picante; Ervas; Floral; ]. Não escreva comentários.,"Qual é o principal descritor de odor da molécula? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Selecione apenas uma das opções [Alimentos semelhantes; Picante; Ervas; Floral; ]. Não escreva comentários.",Floral,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Âmbar; Ervas; Picante; Citrus; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCCC1=CC2=C(C=C1)OCO2]? Selecione apenas uma das opções [Âmbar; Ervas; Picante; Citrus; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [Dihydrosafrole]? Selecione apenas uma das opções [Âmbar; Ervas; Picante; Citrus; ]. Não escreva comentários.,Picante,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Balsâmico; Ervas; Alimentos semelhantes; Frutado; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCCCCCOC(=O)CC(C)C]? Selecione apenas uma das opções [Balsâmico; Ervas; Alimentos semelhantes; Frutado; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [Hexyl isovalerate]? Selecione apenas uma das opções [Balsâmico; Ervas; Alimentos semelhantes; Frutado; ]. Não escreva comentários.,Frutado,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Woody; Fumegante; Musk como; Frutado; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCCC(CCO)SC]? Selecione apenas uma das opções [Woody; Fumegante; Musk como; Frutado; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [3-(Methylthio)-1-hexanol]? Selecione apenas uma das opções [Woody; Fumegante; Musk como; Frutado; ]. Não escreva comentários.,Frutado,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Balsâmico; Alimentos semelhantes; Woody; Musk como; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCC1=NC(=CS1)C]? Selecione apenas uma das opções [Balsâmico; Alimentos semelhantes; Woody; Musk como; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [2-Ethyl-4-methylthiazole]? Selecione apenas uma das opções [Balsâmico; Alimentos semelhantes; Woody; Musk como; ]. Não escreva comentários.,Alimentos semelhantes,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Frutado; Minty; Citrus; Floral; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCCCCCCCCCCCCC(=O)C]? Selecione apenas uma das opções [Frutado; Minty; Citrus; Floral; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [2-Pentadecanone]? Selecione apenas uma das opções [Frutado; Minty; Citrus; Floral; ]. Não escreva comentários.,Floral,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Fumegante; Verde; Ervas; Frutado; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Selecione apenas uma das opções [Fumegante; Verde; Ervas; Frutado; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [Carvyl propionate]? Selecione apenas uma das opções [Fumegante; Verde; Ervas; Frutado; ]. Não escreva comentários.,Ervas,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Verde; Frutado; Aldeídico; Ozono; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCCCCCC(=O)CC]? Selecione apenas uma das opções [Verde; Frutado; Aldeídico; Ozono; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [3-Nonanone]? Selecione apenas uma das opções [Verde; Frutado; Aldeídico; Ozono; ]. Não escreva comentários.,Frutado,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromático; Marinha; Ervas; Balsâmico; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Selecione apenas uma das opções [Aromático; Marinha; Ervas; Balsâmico; ]. Não escreva comentários.,"Qual é o principal descritor de odor da molécula? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Selecione apenas uma das opções [Aromático; Marinha; Ervas; Balsâmico; ]. Não escreva comentários.",Ervas,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Citrus; Mel; Fumegante; Ervas; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Selecione apenas uma das opções [Citrus; Mel; Fumegante; Ervas; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [Isobornyl acetate]? Selecione apenas uma das opções [Citrus; Mel; Fumegante; Ervas; ]. Não escreva comentários.,Ervas,Descriptor 2=Pine;Descriptor 3=Green
11,Isoamyl alcohol,CC(C)CCO,,,Musk como; Frutado; Ozono; Verde; ,primary_odor_descriptor,Qual é o principal descritor de odor da molécula? [CC(C)CCO]? Selecione apenas uma das opções [Musk como; Frutado; Ozono; Verde; ]. Não escreva comentários.,Qual é o principal descritor de odor da molécula? [Isoamyl alcohol]? Selecione apenas uma das opções [Musk como; Frutado; Ozono; Verde; ]. Não escreva comentários.,Frutado,Descriptor 2=Apple;Descriptor 3=Pear
