question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
1,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C,,,Jedlo ako; Pikantné; Bylinný; Kvetinový; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CC(=CCCC(=CCOC(CC1=CC=CC=C1)OCC=C(C)CCC=C(C)C)C)C]? Vyberte len jednu z možností [Jedlo ako; Pikantné; Bylinný; Kvetinový; ]. Nepíšte žiadne komentáre.,"Aký je primárny deskriptor zápachu molekuly? [[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene]? Vyberte len jednu z možností [Jedlo ako; Pikantné; Bylinný; Kvetinový; ]. Nepíšte žiadne komentáre.",Kvetinový,Descriptor 2=Rose;Descriptor 3=Green
2,Dihydrosafrole,CCCC1=CC2=C(C=C1)OCO2,,,Jantár; Bylinný; Pikantné; Citrus; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCCC1=CC2=C(C=C1)OCO2]? Vyberte len jednu z možností [Jantár; Bylinný; Pikantné; Citrus; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [Dihydrosafrole]? Vyberte len jednu z možností [Jantár; Bylinný; Pikantné; Citrus; ]. Nepíšte žiadne komentáre.,Pikantné,Descriptor 2=Sweet;Descriptor 3=Floral
3,Hexyl isovalerate,CCCCCCOC(=O)CC(C)C,,,Balsamico; Bylinný; Jedlo ako; Ovocný; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCCCCCOC(=O)CC(C)C]? Vyberte len jednu z možností [Balsamico; Bylinný; Jedlo ako; Ovocný; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [Hexyl isovalerate]? Vyberte len jednu z možností [Balsamico; Bylinný; Jedlo ako; Ovocný; ]. Nepíšte žiadne komentáre.,Ovocný,Descriptor 2=Sweet;Descriptor 3=Green
4,3-(Methylthio)-1-hexanol,CCCC(CCO)SC,,,Woody; Dymový; Musk ako; Ovocný; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCCC(CCO)SC]? Vyberte len jednu z možností [Woody; Dymový; Musk ako; Ovocný; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [3-(Methylthio)-1-hexanol]? Vyberte len jednu z možností [Woody; Dymový; Musk ako; Ovocný; ]. Nepíšte žiadne komentáre.,Ovocný,Descriptor 2=Pineapple;Descriptor 3=Mango
5,2-Ethyl-4-methylthiazole,CCC1=NC(=CS1)C,,,Balsamico; Jedlo ako; Woody; Musk ako; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCC1=NC(=CS1)C]? Vyberte len jednu z možností [Balsamico; Jedlo ako; Woody; Musk ako; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [2-Ethyl-4-methylthiazole]? Vyberte len jednu z možností [Balsamico; Jedlo ako; Woody; Musk ako; ]. Nepíšte žiadne komentáre.,Jedlo ako,Descriptor 2=Green;Descriptor 3=Nutty
6,2-Pentadecanone,CCCCCCCCCCCCCC(=O)C,,,Ovocný; Mätový; Citrus; Kvetinový; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCCCCCCCCCCCCC(=O)C]? Vyberte len jednu z možností [Ovocný; Mätový; Citrus; Kvetinový; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [2-Pentadecanone]? Vyberte len jednu z možností [Ovocný; Mätový; Citrus; Kvetinový; ]. Nepíšte žiadne komentáre.,Kvetinový,Descriptor 2=Oily;Descriptor 3=Fresh
7,Carvyl propionate,CCC(=O)OC1CC(CC=C1C)C(=C)C,,,Dymový; Zelená; Bylinný; Ovocný; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCC(=O)OC1CC(CC=C1C)C(=C)C]? Vyberte len jednu z možností [Dymový; Zelená; Bylinný; Ovocný; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [Carvyl propionate]? Vyberte len jednu z možností [Dymový; Zelená; Bylinný; Ovocný; ]. Nepíšte žiadne komentáre.,Bylinný,Descriptor 2=Minty;Descriptor 3=Aromatic
8,3-Nonanone,CCCCCCC(=O)CC,,,Zelená; Ovocný; Aldehydický; Ózon; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCCCCCC(=O)CC]? Vyberte len jednu z možností [Zelená; Ovocný; Aldehydický; Ózon; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [3-Nonanone]? Vyberte len jednu z možností [Zelená; Ovocný; Aldehydický; Ózon; ]. Nepíšte žiadne komentáre.,Ovocný,Descriptor 2=Floral;Descriptor 3=Sweet
9,"Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",CCOC(=O)C1C(C1(C)C)C=C(C)C,,,Aromatický; Námorný; Bylinný; Balsamico; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CCOC(=O)C1C(C1(C)C)C=C(C)C]? Vyberte len jednu z možností [Aromatický; Námorný; Bylinný; Balsamico; ]. Nepíšte žiadne komentáre.,"Aký je primárny deskriptor zápachu molekuly? [Ethyl 2,2,-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate]? Vyberte len jednu z možností [Aromatický; Námorný; Bylinný; Balsamico; ]. Nepíšte žiadne komentáre.",Bylinný,Descriptor 2=Fruity;Descriptor 3=Floral
10,Isobornyl acetate,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,,,Citrus; Med; Dymový; Bylinný; ,primary_odor_descriptor,Aký je primárny deskriptor zápachu molekuly? [CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C]? Vyberte len jednu z možností [Citrus; Med; Dymový; Bylinný; ]. Nepíšte žiadne komentáre.,Aký je primárny deskriptor zápachu molekuly? [Isobornyl acetate]? Vyberte len jednu z možností [Citrus; Med; Dymový; Bylinný; ]. Nepíšte žiadne komentáre.,Bylinný,Descriptor 2=Pine;Descriptor 3=Green
